RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 1.5000 24.8800 0.8000 0.0000 6.8831 753.7725 0.6537 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 2 0 1.3500 25.8500 0.8000 0.0000 6.7233 753.6069 0.6359 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 3 0 1.2400 63.9200 0.8000 0.0000 6.5539 753.4316 0.6171 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 4 0 1.5000 10.1000 0.8000 0.0000 6.4071 753.2795 0.6008 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 5 0 1.5500 88.8400 0.8000 0.0000 6.2645 753.1319 0.5849 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 6 0 1.6300 14.3500 0.8000 0.0000 6.1288 752.9914 0.5699 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 7 0 1.6000 51.5300 0.8000 0.0000 5.9906 752.8483 0.5545 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 8 0 1.4600 26.5600 0.8000 0.0000 5.8403 752.6926 0.5378 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 9 0 1.3500 52.9300 0.8000 0.0000 5.6804 752.5271 0.5200 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 10 0 1.3400 10.9400 0.9000 0.0000 5.4852 752.3249 0.4984 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 11 0 1.4500 10.0100 0.9000 0.0000 5.2994 752.1325 0.4777 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 12 0 2.8500 17.9500 0.9000 0.0000 5.2346 752.0654 0.4705 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 13 0 9.8000 82.5800 0.9000 0.0000 5.7703 752.6201 0.5300 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 14 0 6.4100 25.5000 0.9000 0.0000 6.0131 752.8715 0.5570 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 15 0 5.1300 55.8200 0.9000 0.0000 6.1453 753.0084 0.5717 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 16 0 4.1800 29.3900 0.0000 0.0000 6.5064 753.3824 0.6118 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 17 0 3.4000 46.9600 0.0000 0.0000 6.8002 753.6866 0.6445 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 18 0 2.7500 17.5900 0.0000 0.0000 7.0378 753.9326 0.6709 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 19 0 2.3000 88.3300 0.0000 0.0000 7.2365 754.1384 0.6929 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 20 0 2.0700 80.8200 0.0000 0.0000 7.4153 754.3236 0.7128 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 21 0 1.9100 88.8300 0.0000 0.0000 7.5804 754.4945 0.7312 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 22 0 1.7900 78.9000 0.8000 0.0000 7.4585 754.3683 0.7176 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 23 0 1.8800 59.9800 0.8000 0.0000 7.3445 754.2502 0.7049 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 24 0 2.0100 50.7100 0.8000 0.0000 7.2417 754.1438 0.6935 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 25 0 4.9400 99.0800 0.8000 0.0000 7.3920 754.2994 0.7102 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 26 0 9.5600 59.4000 0.8000 0.0000 7.9415 754.8684 0.7713 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 27 0 14.4000 16.8900 0.8000 0.0000 8.9092 755.8705 0.8788 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 28 0 26.1100 18.5200 0.8000 0.0000 10.7351 757.1470 1.0817 0.0000 3.2000 0.0000 1.7772 0.0000 4.9772 
2022 9 29 0 18.0100 27.1000 0.8000 0.0000 11.6665 757.3333 1.1852 0.0000 3.2000 0.0000 4.0293 0.0000 7.2293 
2022 9 30 0 13.5800 18.9700 0.8000 0.0000 12.1204 757.4241 1.2356 0.0000 3.2000 0.0000 5.1267 0.0000 8.3267 
