POWERSTATION node 1 SVOLETJONN
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 3.2000 24.8800 0.8000 3.2000 0.0000 1016.7688 1.0000 60.7765 63.8485 40.8669 0.0000 1015.7688 0.1478
2022 9 2 0 3.2000 25.8500 0.8000 3.2000 0.0000 1053.6494 0.0000 60.6177 63.6897 40.7601 0.0000 1053.6494 0.1474
2022 9 3 0 3.2000 63.9200 0.8000 3.2000 0.0000 2598.0620 0.0000 60.4473 63.5193 40.6455 0.0000 2598.0620 0.1470
2022 9 4 0 3.2000 10.1000 0.8000 3.2000 0.0000 409.4079 0.0000 60.2835 63.3555 40.5354 0.0000 409.4079 0.1466
2022 9 5 0 3.2000 88.8400 0.8000 3.2000 0.0000 3592.2159 0.0000 60.1337 63.2057 40.4347 0.0000 3592.2159 0.1462
2022 9 6 0 3.2000 14.3500 0.8000 3.2000 0.0000 578.8476 0.0000 59.9896 63.0616 40.3378 0.0000 578.8476 0.1459
2022 9 7 0 3.2000 51.5300 0.8000 3.2000 0.0000 2073.6940 0.0000 59.8478 62.9198 40.2425 0.0000 2073.6940 0.1456
2022 9 8 0 3.2000 26.5600 0.8000 3.2000 0.0000 1066.1714 0.0000 59.6984 62.7704 40.1420 0.0000 1066.1714 0.1452
2022 9 9 0 3.2000 52.9300 0.8000 3.2000 0.0000 2119.0002 0.0000 59.5378 62.6098 40.0340 0.0000 2119.0002 0.1448
2022 9 10 0 3.6000 10.9400 0.9000 3.6000 0.0000 481.0581 0.0000 58.5380 62.4260 43.9724 0.0000 481.0581 0.1414
2022 9 11 0 3.6000 10.0100 0.9000 3.6000 0.0000 438.6804 0.0000 58.3407 62.2287 43.8242 0.0000 438.6804 0.1409
2022 9 12 0 3.6000 17.9500 0.9000 3.6000 0.0000 784.8956 0.0000 58.2110 62.0990 43.7268 0.0000 784.8956 0.1406
2022 9 13 0 3.6000 82.5800 0.9000 3.6000 0.0000 3626.0801 0.0000 58.4548 62.3428 43.9099 0.0000 3626.0801 0.1412
2022 9 14 0 3.6000 25.5000 0.9000 3.6000 0.0000 1127.4231 0.0000 58.8578 62.7458 44.2127 0.0000 1127.4231 0.1421
2022 9 15 0 3.6000 55.8200 0.9000 3.6000 0.0000 2476.0918 0.0000 59.0520 62.9400 44.3585 0.0000 2476.0918 0.1426
2022 9 16 0 0.0000 29.3900 0.0000 0.0000 0.0000 0.0000 1.0000 63.1954 63.1954 0.0000 0.0000 -1.0000 0.0000
2022 9 17 0 0.0000 46.9600 0.0000 0.0000 0.0000 0.0000 0.0000 63.5345 63.5345 0.0000 0.0000 0.0000 0.0000
2022 9 18 0 0.0000 17.5900 0.0000 0.0000 0.0000 0.0000 0.0000 63.8096 63.8096 0.0000 0.0000 0.0000 0.0000
2022 9 19 0 0.0000 88.3300 0.0000 0.0000 0.0000 0.0000 0.0000 64.0355 64.0355 0.0000 0.0000 0.0000 0.0000
2022 9 20 0 0.0000 80.8200 0.0000 0.0000 0.0000 0.0000 0.0000 64.2310 64.2310 0.0000 0.0000 0.0000 0.0000
2022 9 21 0 0.0000 88.8300 0.0000 0.0000 0.0000 0.0000 0.0000 64.4090 64.4090 0.0000 0.0000 0.0000 0.0000
2022 9 22 0 3.2000 78.9000 0.8000 3.2000 0.0000 3255.3233 1.0000 61.3594 64.4314 41.2588 0.0000 3254.3233 0.1492
2022 9 23 0 3.2000 59.9800 0.8000 3.2000 0.0000 2469.7804 0.0000 61.2373 64.3093 41.1767 0.0000 2469.7804 0.1489
2022 9 24 0 3.2000 50.7100 0.8000 3.2000 0.0000 2084.2435 0.0000 61.1250 64.1970 41.1012 0.0000 2084.2435 0.1487
2022 9 25 0 3.2000 99.0800 0.8000 3.2000 0.0000 4073.9494 0.0000 61.1496 64.2216 41.1178 0.0000 4073.9494 0.1487
2022 9 26 0 3.2000 59.4000 0.8000 3.2000 0.0000 2456.8684 0.0000 61.5119 64.5839 41.3614 0.0000 2456.8684 0.1496
2022 9 27 0 3.2000 16.8900 0.8000 3.2000 0.0000 707.5156 0.0000 62.2975 65.3695 41.8896 0.0000 707.5156 0.1515
2022 9 28 0 3.2000 18.5200 0.8000 3.2000 0.0000 789.0680 0.0000 63.3632 66.4352 42.6063 0.0000 789.0680 0.1541
2022 9 29 0 3.2000 27.1000 0.8000 3.2000 0.0000 1164.9211 0.0000 63.9280 67.0000 42.9860 0.0000 1164.9211 0.1555
2022 9 30 0 3.2000 18.9700 0.8000 3.2000 0.0000 815.4447 0.0000 63.9280 67.0000 42.9860 0.0000 815.4447 0.1555
