Riversystem mini_uTAHPS_daily reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2022 9 1 0 0.6537 
2022 9 2 0 0.6359 
2022 9 3 0 0.6171 
2022 9 4 0 0.6008 
2022 9 5 0 0.5849 
2022 9 6 0 0.5699 
2022 9 7 0 0.5545 
2022 9 8 0 0.5378 
2022 9 9 0 0.5200 
2022 9 10 0 0.4984 
2022 9 11 0 0.4777 
2022 9 12 0 0.4705 
2022 9 13 0 0.5300 
2022 9 14 0 0.5570 
2022 9 15 0 0.5717 
2022 9 16 0 0.6118 
2022 9 17 0 0.6445 
2022 9 18 0 0.6709 
2022 9 19 0 0.6929 
2022 9 20 0 0.7128 
2022 9 21 0 0.7312 
2022 9 22 0 0.7176 
2022 9 23 0 0.7049 
2022 9 24 0 0.6935 
2022 9 25 0 0.7102 
2022 9 26 0 0.7713 
2022 9 27 0 0.8788 
2022 9 28 0 1.0817 
2022 9 29 0 1.1852 
2022 9 30 0 1.2356 
