RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 7 0 1.5000 24.8800 0.6600 0.0000 7.0259 753.9203 0.6695 0.0000 2.6400 0.0000 0.0000 0.0000 2.6400 
2026 5 7 1 1.3500 25.8500 0.0000 0.0000 7.0308 753.9253 0.6701 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 2 1.2400 28.0000 0.0000 0.0000 7.0352 753.9300 0.6706 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 3 1.5000 23.0000 0.0000 0.0000 7.0406 753.9356 0.6712 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 4 1.5500 35.0000 1.0000 0.0000 7.0318 753.9264 0.6702 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 5 1.6300 39.0000 1.0000 0.0000 7.0233 753.9176 0.6693 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 6 1.6000 45.0000 1.0000 0.0000 7.0146 753.9086 0.6683 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 7 1.4600 26.5600 0.0000 0.0000 7.0199 753.9141 0.6689 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 8 1.3500 52.9300 1.0000 0.0000 7.0103 753.9042 0.6678 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 9 1.3400 10.9400 0.0000 0.0000 7.0152 753.9092 0.6684 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 10 1.4500 10.0100 0.0000 0.0000 7.0204 753.9146 0.6689 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 7.0204 753.9146 0.6689 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 12 0.0000 82.5800 1.0000 0.0000 7.0060 753.8997 0.6673 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 7.0060 753.8997 0.6673 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 14 0.0000 55.8200 1.0000 0.0000 6.9916 753.8848 0.6657 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 15 0.0000 29.3900 0.8500 0.0000 6.9793 753.8721 0.6644 0.0000 3.4000 0.0000 0.0000 0.0000 3.4000 
2026 5 7 16 0.0000 46.9600 1.0000 0.0000 6.9649 753.8572 0.6628 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 17 0.0000 17.5900 0.7700 0.0000 6.9539 753.8457 0.6615 0.0000 3.0800 0.0000 0.0000 0.0000 3.0800 
2026 5 7 18 0.0000 88.3300 1.0000 0.0000 6.9395 753.8308 0.6599 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 19 0.0000 80.8200 1.0000 0.0000 6.9251 753.8159 0.6583 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 20 1.9100 88.8300 1.0000 0.0000 6.9175 753.8081 0.6575 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 21 1.7900 78.9000 1.0000 0.0000 6.9096 753.7999 0.6566 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 22 1.8800 59.9800 1.0000 0.0000 6.9019 753.7920 0.6558 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 23 2.0100 50.7100 1.0000 0.0000 6.8948 753.7845 0.6550 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 0 4.9400 99.0800 1.0000 0.0000 6.8982 753.7880 0.6554 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 1 9.5600 59.4000 1.0000 0.0000 6.9182 753.8088 0.6576 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 2 14.4000 16.8900 0.7500 0.0000 6.9592 753.8513 0.6621 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 3 26.1100 18.5200 0.7500 0.0000 7.0424 753.9374 0.6714 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 4 18.0100 27.1000 0.7500 0.0000 7.0965 753.9934 0.6774 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
