POWERSTATION node 1 SVOLETJONN
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [m] [m] [MWh] [GWh/Mm3] [Euro] [Euro] [Euro] [Euro] [Euro] [Euro]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin Hnetto Hbrutto Power est_eekv income tot_cost startstopCost adjust_cost cost_aggressive_actions profit
2026 5 7 0 2.6400 24.8800 0.6600 2.6400 0.0000 61.8316 63.9224 1.4159 0.1490 35.2273 1.0000 1.0000 0.0000 0.0000 34.2273
2026 5 7 1 0.0000 25.8500 0.0000 0.0000 0.0000 63.9228 63.9228 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 2 0.0000 28.0000 0.0000 0.0000 0.0000 63.9277 63.9277 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 3 0.0000 23.0000 0.0000 0.0000 0.0000 63.9328 63.9328 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 4 4.0000 35.0000 1.0000 4.0000 0.0000 59.1310 63.9310 1.9595 0.1361 68.5832 1.0000 1.0000 0.0000 0.0000 67.5832
2026 5 7 5 4.0000 39.0000 1.0000 4.0000 0.0000 59.1220 63.9220 1.9592 0.1361 76.4097 0.0000 0.0000 0.0000 0.0000 76.4097
2026 5 7 6 4.0000 45.0000 1.0000 4.0000 0.0000 59.1131 63.9131 1.9589 0.1360 88.1517 0.0000 0.0000 0.0000 0.0000 88.1517
2026 5 7 7 0.0000 26.5600 0.0000 0.0000 0.0000 63.9114 63.9114 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 8 4.0000 52.9300 1.0000 4.0000 0.0000 59.1091 63.9091 1.9588 0.1360 103.6791 1.0000 1.0000 0.0000 0.0000 102.6791
2026 5 7 9 0.0000 10.9400 0.0000 0.0000 0.0000 63.9067 63.9067 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 10 0.0000 10.0100 0.0000 0.0000 0.0000 63.9119 63.9119 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 0.0000 63.9146 63.9146 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 12 4.0000 82.5800 1.0000 4.0000 0.0000 59.1071 63.9071 1.9587 0.1360 161.7519 1.0000 1.0000 0.0000 0.0000 160.7519
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 0.0000 63.8997 63.8997 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 14 4.0000 55.8200 1.0000 4.0000 0.0000 59.0922 63.8922 1.9582 0.1360 109.3087 1.0000 1.0000 0.0000 0.0000 108.3087
2026 5 7 15 3.4000 29.3900 0.8500 3.4000 0.0000 60.4104 63.8784 1.7983 0.1469 52.8525 0.0000 0.0000 0.0000 0.0000 52.8525
2026 5 7 16 4.0000 46.9600 1.0000 4.0000 0.0000 59.0647 63.8647 1.9573 0.1359 91.9158 0.0000 0.0000 0.0000 0.0000 91.9158
2026 5 7 17 3.0800 17.5900 0.7700 3.0800 0.0000 61.0055 63.8515 1.6451 0.1484 28.9375 0.0000 0.0000 0.0000 0.0000 28.9375
2026 5 7 18 4.0000 88.3300 1.0000 4.0000 0.0000 59.0383 63.8383 1.9564 0.1359 172.8130 0.0000 0.0000 0.0000 0.0000 172.8130
2026 5 7 19 4.0000 80.8200 1.0000 4.0000 0.0000 59.0233 63.8233 1.9560 0.1358 158.0801 0.0000 0.0000 0.0000 0.0000 158.0801
2026 5 7 20 4.0000 88.8300 1.0000 4.0000 0.0000 59.0120 63.8120 1.9556 0.1358 173.7139 0.0000 0.0000 0.0000 0.0000 173.7139
2026 5 7 21 4.0000 78.9000 1.0000 4.0000 0.0000 59.0040 63.8040 1.9553 0.1358 154.2741 0.0000 0.0000 0.0000 0.0000 154.2741
2026 5 7 22 4.0000 59.9800 1.0000 4.0000 0.0000 58.9959 63.7959 1.9550 0.1358 117.2635 0.0000 0.0000 0.0000 0.0000 117.2635
2026 5 7 23 4.0000 50.7100 1.0000 4.0000 0.0000 58.9882 63.7882 1.9548 0.1357 99.1274 0.0000 0.0000 0.0000 0.0000 99.1274
2026 5 8 0 4.0000 99.0800 1.0000 4.0000 0.0000 58.9863 63.7863 1.9547 0.1357 193.6742 0.0000 0.0000 0.0000 0.0000 193.6742
2026 5 8 1 4.0000 59.4000 1.0000 4.0000 0.0000 58.9984 63.7984 1.9551 0.1358 116.1345 0.0000 0.0000 0.0000 0.0000 116.1345
2026 5 8 2 3.0000 16.8900 0.7500 3.0000 0.0000 61.1300 63.8300 1.6056 0.1487 27.1194 0.0000 0.0000 0.0000 0.0000 27.1194
2026 5 8 3 3.0000 18.5200 0.7500 3.0000 0.0000 61.1943 63.8943 1.6073 0.1488 29.7679 0.0000 0.0000 0.0000 0.0000 29.7679
