CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 2.6400 0.01331414 0.6083 0.0000 
2026 5 7 1 0.0000 0.01095853 0.6543 0.0000 
2026 5 7 2 0.0000 0.00836845 0.7195 0.0000 
2026 5 7 3 0.0000 0.00592669 0.6783 0.0000 
2026 5 7 4 4.0000 0.01797667 0.6528 0.0000 
2026 5 7 5 4.0000 0.02915486 0.8949 0.0000 
2026 5 7 6 4.0000 0.03836755 1.4409 0.0000 
2026 5 7 7 0.0000 0.03118565 1.9950 0.0000 
2026 5 7 8 4.0000 0.03730348 2.3006 0.0000 
2026 5 7 9 0.0000 0.02877196 2.3699 0.0000 
2026 5 7 10 0.0000 0.02078466 2.2187 0.0000 
2026 5 7 11 0.0000 0.01412602 1.8496 0.0000 
2026 5 7 12 4.0000 0.02316216 1.4900 0.0000 
2026 5 7 13 0.0000 0.01829863 1.3510 0.0000 
2026 5 7 14 4.0000 0.02763560 1.4064 0.0000 
2026 5 7 15 3.4000 0.03401642 1.6276 0.0000 
2026 5 7 16 4.0000 0.04118416 2.0090 0.0000 
2026 5 7 17 3.0800 0.04348550 2.4407 0.0000 
2026 5 7 18 4.0000 0.04777091 2.8096 0.0000 
2026 5 7 19 4.0000 0.05099911 3.1033 0.0000 
2026 5 7 20 4.0000 0.05333772 3.3504 0.0000 
2026 5 7 21 4.0000 0.05494252 3.5542 0.0000 
2026 5 7 22 4.0000 0.05599149 3.7086 0.0000 
2026 5 7 23 4.0000 0.05665023 3.8170 0.0000 
2026 5 8 0 4.0000 0.05705071 3.8888 0.0000 
2026 5 8 1 4.0000 0.05728783 3.9341 0.0000 
2026 5 8 2 3.0000 0.05391903 3.9358 0.0000 
2026 5 8 3 3.0000 0.05084343 3.8543 0.0000 
2026 5 8 4 3.0000 0.04834113 3.6951 0.0000 
2026 5 8 5 0.0000 0.03598031 3.4336 0.0000 
2026 5 8 6 0.0000 0.02525914 2.9781 0.0000 
2026 5 8 7 0.0000 0.01680496 2.3484 0.0000 
2026 5 8 8 0.0000 0.01069837 1.6963 0.0000 
2026 5 8 9 0.0000 0.00657387 1.1457 0.0000 
2026 5 8 10 0.0000 0.00392567 0.7356 0.0000 
2026 5 8 11 0.0000 0.00229018 0.4543 0.0000 
2026 5 8 12 0.0000 0.00131049 0.2721 0.0000 
2026 5 8 13 0.0000 0.00073783 0.1591 0.0000 
2026 5 8 14 0.0000 0.00040973 0.0911 0.0000 
2026 5 8 15 0.0000 0.00022486 0.0514 0.0000 
2026 5 8 16 0.0000 0.00012215 0.0285 0.0000 
2026 5 8 17 0.0000 0.00006576 0.0157 0.0000 
2026 5 8 18 0.0000 0.00003512 0.0085 0.0000 
2026 5 8 19 0.0000 0.00001863 0.0046 0.0000 
2026 5 8 20 0.0000 0.00000982 0.0024 0.0000 
2026 5 8 21 0.0000 0.00000515 0.0013 0.0000 
2026 5 8 22 0.0000 0.00000268 0.0007 0.0000 
2026 5 8 23 0.0000 0.00000139 0.0004 0.0000 
