RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.67000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 7 0 1.5000 24.8800 0.6600 0.0000 9.0507 754.0259 0.6695 0.0000 2.6400 0.0000 0.0000 0.0000 2.6400 
2026 5 7 1 1.3500 25.8500 0.0000 0.0000 9.0556 754.0308 0.6701 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 2 1.2400 28.0000 0.0000 0.0000 9.0600 754.0352 0.6706 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 3 1.5000 23.0000 0.0000 0.0000 9.0654 754.0406 0.6712 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 4 1.5500 35.0000 1.0000 0.0000 9.0566 754.0318 0.6702 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 5 1.6300 39.0000 1.0000 0.0000 9.0481 754.0233 0.6693 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 6 1.6000 45.0000 1.0000 0.0000 9.0394 754.0147 0.6683 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 7 1.4600 26.5600 0.0000 0.0000 9.0447 754.0199 0.6689 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 8 1.3500 52.9300 1.0000 0.0000 9.0352 754.0104 0.6678 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 9 1.3400 10.9400 0.0000 0.0000 9.0400 754.0152 0.6684 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 10 1.4500 10.0100 0.0000 0.0000 9.0452 754.0204 0.6689 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 9.0452 754.0204 0.6689 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 12 0.0000 82.5800 1.0000 0.0000 9.0308 754.0061 0.6673 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 9.0308 754.0061 0.6673 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 14 0.0000 55.8200 1.0000 0.0000 9.0164 753.9917 0.6657 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 15 0.0000 29.3900 0.8500 0.0000 9.0042 753.9795 0.6644 0.0000 3.4000 0.0000 0.0000 0.0000 3.4000 
2026 5 7 16 0.0000 46.9600 1.0000 0.0000 8.9898 753.9651 0.6628 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 17 0.0000 17.5900 0.7700 0.0000 8.9787 753.9541 0.6616 0.0000 3.0800 0.0000 0.0000 0.0000 3.0800 
2026 5 7 18 0.0000 88.3300 1.0000 0.0000 8.9643 753.9397 0.6600 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 19 0.0000 80.8200 1.0000 0.0000 8.9499 753.9253 0.6584 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 20 1.9100 88.8300 1.0000 0.0000 8.9423 753.9178 0.6575 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 21 1.7900 78.9000 1.0000 0.0000 8.9344 753.9099 0.6567 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 22 1.8800 59.9800 1.0000 0.0000 8.9268 753.9023 0.6558 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 23 2.0100 50.7100 1.0000 0.0000 8.9196 753.8952 0.6550 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 0 4.9400 99.0800 1.0000 0.0000 8.9230 753.8985 0.6554 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 1 9.5600 59.4000 1.0000 0.0000 8.9430 753.9185 0.6576 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 2 14.4000 16.8900 0.7500 0.0000 8.9840 753.9594 0.6622 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 3 26.1100 18.5200 0.7500 0.0000 9.0672 754.0424 0.6714 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 4 18.0100 27.1000 0.7500 0.0000 9.1213 754.0963 0.6774 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 5 13.5800 18.9700 0.0000 0.0000 9.1702 754.1450 0.6828 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 6 5.0000 16.0000 0.0000 0.0000 9.1882 754.1630 0.6848 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 7 6.0000 13.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 8 0.0000 11.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 9 0.0000 12.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 10 0.0000 13.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 11 0.0000 16.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 12 0.0000 12.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 13 0.0000 13.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 14 0.0000 12.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 15 0.0000 11.0000 0.0000 0.0000 9.2098 754.1845 0.6872 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 16 4.0000 8.0000 0.0000 0.0000 9.2242 754.1989 0.6888 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 17 8.0000 15.0000 0.0000 0.0000 9.2530 754.2276 0.6920 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 18 19.0000 12.0000 0.0000 0.0000 9.3214 754.2958 0.6995 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 19 3.0000 15.0000 0.0000 0.0000 9.3322 754.3066 0.7007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 20 0.0000 13.0000 0.0000 0.0000 9.3322 754.3066 0.7007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 21 0.0000 14.0000 0.0000 0.0000 9.3322 754.3066 0.7007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 22 0.0000 17.0000 0.0000 0.0000 9.3322 754.3066 0.7007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 23 0.0000 16.0000 0.0000 0.0000 9.3322 754.3066 0.7007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
