Riversystem mini_uTAHPS_hourly reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2026 5 7 0 0.6695 
2026 5 7 1 0.6701 
2026 5 7 2 0.6706 
2026 5 7 3 0.6712 
2026 5 7 4 0.6702 
2026 5 7 5 0.6693 
2026 5 7 6 0.6683 
2026 5 7 7 0.6689 
2026 5 7 8 0.6678 
2026 5 7 9 0.6684 
2026 5 7 10 0.6689 
2026 5 7 11 0.6689 
2026 5 7 12 0.6673 
2026 5 7 13 0.6673 
2026 5 7 14 0.6657 
2026 5 7 15 0.6644 
2026 5 7 16 0.6628 
2026 5 7 17 0.6616 
2026 5 7 18 0.6600 
2026 5 7 19 0.6584 
2026 5 7 20 0.6575 
2026 5 7 21 0.6567 
2026 5 7 22 0.6558 
2026 5 7 23 0.6550 
2026 5 8 0 0.6554 
2026 5 8 1 0.6576 
2026 5 8 2 0.6622 
2026 5 8 3 0.6714 
2026 5 8 4 0.6774 
2026 5 8 5 0.6828 
2026 5 8 6 0.6848 
2026 5 8 7 0.6872 
2026 5 8 8 0.6872 
2026 5 8 9 0.6872 
2026 5 8 10 0.6872 
2026 5 8 11 0.6872 
2026 5 8 12 0.6872 
2026 5 8 13 0.6872 
2026 5 8 14 0.6872 
2026 5 8 15 0.6872 
2026 5 8 16 0.6888 
2026 5 8 17 0.6920 
2026 5 8 18 0.6995 
2026 5 8 19 0.7007 
2026 5 8 20 0.7007 
2026 5 8 21 0.7007 
2026 5 8 22 0.7007 
2026 5 8 23 0.7007 
