RESERVOIR node 0 RES_A
reservoir_init_fr= 0.86000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 1.5000 24.8800 0.7000 0.0000 8.5067 855.4537 0.8341 0.0000 0.0000 4.2000 0.0000 0.0000 4.2000 
2022 9 2 0 1.3500 25.8500 0.8000 0.0000 8.2086 855.1450 0.8010 0.0000 0.0000 4.8000 0.0000 0.0000 4.8000 
2022 9 3 0 1.2400 63.9200 0.9000 0.0000 7.8492 854.7729 0.7610 0.0000 0.0000 5.4000 0.0000 0.0000 5.4000 
2022 9 4 0 1.5000 10.1000 0.8000 0.0000 7.5641 854.4776 0.7293 0.0000 0.0000 4.8000 0.0000 0.0000 4.8000 
2022 9 5 0 1.5500 88.8400 0.8000 0.0000 7.2833 854.1868 0.6981 0.0000 0.0000 4.8000 0.0000 0.0000 4.8000 
2022 9 6 0 1.6300 14.3500 0.7100 0.0000 7.0561 853.9515 0.6729 0.0000 0.0000 4.2600 0.0000 0.0000 4.2600 
2022 9 7 0 1.6000 51.5300 0.0100 0.0000 7.1891 854.0893 0.6877 0.0000 0.0000 0.0600 0.0000 0.0000 0.0600 
2022 9 8 0 1.4600 26.5600 0.0200 0.0000 7.3049 854.2092 0.7005 0.0000 0.0000 0.1200 0.0000 0.0000 0.1200 
2022 9 9 0 1.3500 52.9300 0.0300 0.0000 7.4060 854.3139 0.7118 0.0000 0.0000 0.1800 0.0000 0.0000 0.1800 
2022 9 10 0 1.3400 10.9400 0.0400 0.0000 7.5010 854.4123 0.7223 0.0000 0.0000 0.2400 0.0000 0.0000 0.2400 
2022 9 11 0 1.4500 10.0100 0.0000 0.0000 7.6263 854.5420 0.7363 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 12 0 8.8500 17.9500 0.0000 0.0000 8.3909 855.3338 0.8212 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 13 0 19.8000 82.5800 0.0000 0.0000 10.0841 857.0168 1.0093 0.0000 0.0000 0.0000 0.2033 0.0000 0.2033 
2022 9 14 0 6.4100 25.5000 1.0000 0.0000 10.0989 857.0198 1.0110 0.0000 0.0000 6.0000 0.2390 0.0000 6.2390 
2022 9 15 0 5.1300 55.8200 1.0000 0.0000 10.0196 857.0039 1.0022 0.0000 0.0000 6.0000 0.0474 0.0000 6.0474 
2022 9 16 0 4.1800 29.3900 0.0000 0.0000 10.3150 857.0630 1.0350 0.0000 0.0000 0.0000 0.7615 0.0000 0.7615 
2022 9 17 0 3.4000 46.9600 0.0000 0.0000 10.5035 857.1007 1.0559 0.0000 0.0000 0.0000 1.2174 0.0000 1.2174 
2022 9 18 0 2.7500 17.5900 0.0000 0.0000 10.6131 857.1226 1.0681 0.0000 0.0000 0.0000 1.4823 0.0000 1.4823 
2022 9 19 0 2.3000 88.3300 0.0000 0.0000 10.6715 857.1343 1.0746 0.0000 0.0000 0.0000 1.6236 0.0000 1.6236 
2022 9 20 0 2.0700 80.8200 0.0000 0.0000 10.7034 857.1407 1.0782 0.0000 0.0000 0.0000 1.7007 0.0000 1.7007 
2022 9 21 0 1.9100 88.8300 0.0000 0.0000 10.7184 857.1437 1.0798 0.0000 0.0000 0.0000 1.7369 0.0000 1.7369 
2022 9 22 0 1.7900 78.9000 1.0000 0.0000 10.2933 857.0587 1.0326 0.0000 0.0000 6.0000 0.7093 0.0000 6.7093 
2022 9 23 0 1.8800 59.9800 1.0000 0.0000 9.9374 856.9875 0.9930 0.0000 0.0000 6.0000 0.0000 0.0000 6.0000 
2022 9 24 0 2.0100 50.7100 1.0000 0.0000 9.5926 856.5782 0.9547 0.0000 0.0000 6.0000 0.0000 0.0000 6.0000 
2022 9 25 0 4.9400 99.0800 1.0000 0.0000 9.5011 856.4833 0.9446 0.0000 0.0000 6.0000 0.0000 0.0000 6.0000 
2022 9 26 0 19.5600 59.4000 1.0000 0.0000 10.5564 857.1113 1.0618 0.0000 0.0000 6.0000 1.3453 0.0000 7.3453 
2022 9 27 0 14.4000 16.8900 0.8700 0.0000 11.1164 857.2233 1.1240 0.0000 0.0000 5.2200 2.6991 0.0000 7.9191 
2022 9 28 0 16.1100 18.5200 0.8800 0.0000 11.6975 857.3395 1.1886 0.0000 0.0000 5.2800 4.1041 0.0000 9.3841 
2022 9 29 0 8.0100 27.1000 1.0000 0.0000 11.5478 857.3096 1.1720 0.0000 0.0000 6.0000 3.7423 0.0000 9.7423 
2022 9 30 0 0.0000 18.9700 1.0000 0.0000 10.8515 857.1703 1.0946 0.0000 0.0000 6.0000 2.0588 0.0000 8.0588 
