RESERVOIR node 1 RES_B
reservoir_init_fr= 0.79000  masl=757.202
Filling at HRW [Mm3] = 10.00000
Filling at LRW [Mm3] = 1.00000
Active reservoir capacity [Mm3] = 9.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.0000 24.8800 0.0000 4.2000 7.9372 754.8640 0.7708 0.0000 6.2000 0.0000 0.0000 0.0000 6.2000 
2022 9 2 0 0.0000 25.8500 0.0000 4.8000 8.0754 755.0071 0.7862 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 3 0 0.2400 63.9200 0.0000 5.4000 8.2863 755.2254 0.8096 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 4 0 0.5000 10.1000 0.0000 4.8000 8.4677 755.4133 0.8297 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 5 0 2.5500 88.8400 0.0000 4.8000 8.8263 755.7846 0.8696 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 6 0 2.6300 14.3500 0.0000 4.2600 9.1451 756.1147 0.9050 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 7 0 2.6000 51.5300 0.0000 0.0600 9.0984 756.0664 0.8998 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 8 0 2.4600 26.5600 0.0000 0.1200 9.0448 756.0109 0.8939 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 9 0 2.3500 52.9300 0.0000 0.1800 8.9870 755.9510 0.8874 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 10 0 2.3400 10.9400 0.0000 0.2400 8.8988 755.8597 0.8776 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 11 0 2.4500 10.0100 0.0000 0.0000 8.7995 755.7568 0.8666 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 12 0 0.0000 17.9500 0.0000 0.0000 8.4884 755.4348 0.8320 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 13 0 9.8000 82.5800 0.0000 0.0000 9.0241 755.9895 0.8916 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 14 0 6.4100 25.5000 0.0000 6.0000 9.7853 756.7777 0.9761 0.0000 3.6000 0.0000 0.0000 0.0000 3.6000 
2022 9 15 0 0.1300 55.8200 0.0000 6.0000 9.7101 756.6998 0.9678 0.0000 7.0000 0.0000 0.0000 0.0000 7.0000 
2022 9 16 0 0.1800 29.3900 0.0000 0.0000 9.7257 756.7159 0.9695 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 17 0 0.0000 46.9600 0.0000 0.0000 9.7257 756.7159 0.9695 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 18 0 0.0000 17.5900 0.0000 0.0000 9.7257 756.7159 0.9695 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 19 0 0.0000 88.3300 0.0000 0.0000 9.7257 756.7159 0.9695 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 20 0 0.0000 80.8200 0.0000 0.0000 9.7257 756.7159 0.9695 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 21 0 0.0100 88.8300 0.0000 0.0000 9.7265 756.7168 0.9696 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 22 0 0.0900 78.9000 0.0000 6.0000 9.6825 756.6712 0.9647 0.0000 6.6000 0.0000 0.0000 0.0000 6.6000 
2022 9 23 0 0.0800 59.9800 0.0000 6.0000 9.6376 756.6247 0.9597 0.0000 6.6000 0.0000 0.0000 0.0000 6.6000 
2022 9 24 0 4.0100 50.7100 0.0000 6.0000 9.9322 756.9298 0.9925 0.0000 6.6000 0.0000 0.0000 0.0000 6.6000 
2022 9 25 0 4.9400 99.0800 0.0000 6.0000 10.2541 757.0508 1.0282 0.0000 6.6000 0.0000 0.6143 0.0000 7.2143 
2022 9 26 0 1.5600 59.4000 0.0000 6.0000 10.2788 757.0558 1.0310 0.0000 6.6000 0.0000 0.6740 0.0000 7.2740 
2022 9 27 0 1.4000 16.8900 0.0000 5.2200 10.4750 757.0950 1.0528 0.0000 3.2000 0.0000 1.1485 0.0000 4.3485 
2022 9 28 0 2.1100 18.5200 0.0000 5.2800 10.6924 757.1385 1.0769 0.0000 3.2000 0.0000 1.6741 0.0000 4.8741 
2022 9 29 0 1.0100 27.1000 0.0000 6.0000 10.8451 757.1690 1.0939 0.0000 3.2000 0.0000 2.0432 0.0000 5.2432 
2022 9 30 0 1.5800 18.9700 0.0000 6.0000 11.0121 757.2024 1.1125 0.0000 3.2000 0.0000 2.4470 0.0000 5.6470 
