CHANNEL node 3 CHAN3
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 6.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 0.0000 0.00048614 0.0522 0.0000 
2022 9 2 0 0.0000 0.00001389 0.0055 0.0000 
2022 9 3 0 0.0000 0.00000000 0.0002 0.0000 
2022 9 4 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 5 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 6 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 7 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 8 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 9 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 10 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 11 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 12 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 13 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 14 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 15 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 16 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 17 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 18 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 19 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 20 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 21 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 22 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 23 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 24 0 0.0000 0.00000000 0.0000 0.0000 
2022 9 25 0 0.6143 0.01219386 0.4732 0.0000 
2022 9 26 0 0.6740 0.01442399 0.6482 0.0000 
2022 9 27 0 1.1485 0.02397509 1.0380 0.0000 
2022 9 28 0 1.6741 0.03521716 1.5440 0.0000 
2022 9 29 0 2.0432 0.04346064 1.9478 0.0000 
2022 9 30 0 2.4470 0.05212981 2.3467 0.0000 
