POWERSTATION node 4 PSTAT_B
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [fr_g1] [m3/s] [m3/s] [m] [m] [MWh] [GWh/Mm3] [Euro] [Euro] [Euro] [Euro] [Euro] [Euro]
yyyy mm dd hh Up_Inflow Price Action_g0 Action_g1 tot_outflow auto_qmin Hnetto Hbrutto Power est_eekv income tot_cost startstopCost adjust_cost cost_aggressive_actions profit
2022 9 1 0 6.2000 24.8800 0.8000 0.7500 6.2000 0.0000 53.4214 64.9534 69.5974 0.1299 1731.5845 2.0000 2.0000 0.0000 0.0000 1729.5845
2022 9 2 0 3.2000 25.8500 0.8000 0.0000 3.2000 0.0000 61.8635 64.9355 41.5978 0.1505 1075.3043 1.0000 1.0000 0.0000 0.0000 1074.3043
2022 9 3 0 3.2000 63.9200 0.8000 0.0000 3.2000 0.0000 62.0443 65.1163 41.7194 0.1509 2666.7019 0.0000 0.0000 0.0000 0.0000 2666.7019
2022 9 4 0 3.2000 10.1000 0.8000 0.0000 3.2000 0.0000 62.2474 65.3194 41.8559 0.1514 422.7449 0.0000 0.0000 0.0000 0.0000 422.7449
2022 9 5 0 3.2000 88.8400 0.8000 0.0000 3.2000 0.0000 62.5269 65.5989 42.0439 0.1521 3735.1823 0.0000 0.0000 0.0000 0.0000 3735.1823
2022 9 6 0 3.2000 14.3500 0.8000 0.0000 3.2000 0.0000 62.8777 65.9497 42.2797 0.1529 606.7144 0.0000 0.0000 0.0000 0.0000 606.7144
2022 9 7 0 3.2000 51.5300 0.8000 0.0000 3.2000 0.0000 63.0186 66.0906 42.3745 0.1533 2183.5579 0.0000 0.0000 0.0000 0.0000 2183.5579
2022 9 8 0 3.2000 26.5600 0.8000 0.0000 3.2000 0.0000 62.9667 66.0387 42.3396 0.1531 1124.5400 0.0000 0.0000 0.0000 0.0000 1124.5400
2022 9 9 0 3.2000 52.9300 0.8000 0.0000 3.2000 0.0000 62.9090 65.9810 42.3008 0.1530 2238.9816 0.0000 0.0000 0.0000 0.0000 2238.9816
2022 9 10 0 3.6000 10.9400 0.9000 0.0000 3.6000 0.0000 62.0174 65.9054 46.5860 0.1498 509.6514 0.0000 0.0000 0.0000 0.0000 509.6514
2022 9 11 0 3.6000 10.0100 0.9000 0.0000 3.6000 0.0000 61.9203 65.8083 46.5131 0.1495 465.5964 0.0000 0.0000 0.0000 0.0000 465.5964
