CHANNEL node 5 CHANNEL5
N_CASCADE_LINRES 4
K_TRAVELTIME_HOURS 3.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 6.3192 0.06544990 5.6774 0.0000 
2022 9 2 0 3.2080 0.03613060 3.5473 0.0000 
2022 9 3 0 3.2002 0.03459782 3.2179 0.0000 
2022 9 4 0 3.2000 0.03456044 3.2004 0.0000 
2022 9 5 0 3.2000 0.03456000 3.2000 0.0000 
2022 9 6 0 3.2000 0.03456000 3.2000 0.0000 
2022 9 7 0 3.2000 0.03456000 3.2000 0.0000 
2022 9 8 0 3.2000 0.03456000 3.2000 0.0000 
2022 9 9 0 3.2000 0.03456000 3.2000 0.0000 
2022 9 10 0 3.6000 0.03868168 3.5523 0.0000 
2022 9 11 0 3.6000 0.03887585 3.5978 0.0000 
2022 9 12 0 3.6000 0.03887997 3.6000 0.0000 
2022 9 13 0 3.7713 0.04064499 3.7509 0.0000 
2022 9 14 0 3.8316 0.04134960 3.8234 0.0000 
2022 9 15 0 7.0772 0.07482445 6.6898 0.0000 
2022 9 16 0 0.6507 0.01017990 1.3989 0.0000 
2022 9 17 0 1.1393 0.01212827 1.1167 0.0000 
2022 9 18 0 1.4364 0.01536075 1.3989 0.0000 
2022 9 19 0 1.5989 0.01718406 1.5778 0.0000 
2022 9 20 0 1.6873 0.01817681 1.6758 0.0000 
2022 9 21 0 1.7305 0.01866671 1.7248 0.0000 
2022 9 22 0 7.4709 0.07783877 6.7860 0.0000 
2022 9 23 0 6.7209 0.07289815 6.7781 0.0000 
2022 9 24 0 6.6065 0.07141424 6.6237 0.0000 
2022 9 25 0 7.0733 0.07616138 7.0183 0.0000 
2022 9 26 0 8.3815 0.08986708 8.2229 0.0000 
2022 9 27 0 6.7118 0.07330159 6.9035 0.0000 
2022 9 28 0 8.6144 0.09210977 8.3967 0.0000 
2022 9 29 0 8.9343 0.09631240 8.8857 0.0000 
2022 9 30 0 7.8737 0.08555859 7.9982 0.0000 
