RESERVOIR node 2 HJELLE
reservoir_init_fr= 0.80000  masl=370.816
Filling at HRW [Mm3] = 9.16667
Filling at LRW [Mm3] = 1.00000
Active reservoir capacity [Mm3] = 8.16667
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 7 0 10.0000 24.8800 0.0000 100.0000 7.9293 369.8485 0.8485 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 1 10.0000 25.8500 0.0000 100.0000 8.3253 369.8970 0.8970 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 2 10.0000 28.0000 0.0000 100.0000 8.7213 369.9455 0.9455 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 3 10.0000 23.0000 0.0000 100.0000 9.1173 369.9940 0.9940 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 7 4 10.0000 35.0000 0.0000 100.0000 9.5132 370.0424 1.0424 0.0000 0.0000 0.0000 0.0424 0.0000 0.0424 
2026 5 7 5 10.0000 39.0000 0.0000 100.0000 9.9089 370.0909 1.0909 0.0000 0.0000 0.0000 0.0909 0.0000 0.0909 
2026 5 7 6 1000.0000 45.0000 0.0000 100.0000 13.8668 370.5755 1.5755 0.0000 0.0000 0.0000 0.5758 0.0000 0.5758 
2026 5 7 7 10.0000 26.5600 0.0000 100.0000 14.2605 370.6237 1.6237 0.0000 0.0000 0.0000 0.6240 0.0000 0.6240 
2026 5 7 8 10.0000 52.9300 0.0000 100.0000 14.6541 370.6719 1.6719 0.0000 0.0000 0.0000 0.6722 0.0000 0.6722 
2026 5 7 9 10.0000 10.9400 0.0000 100.0000 15.0475 370.7201 1.7201 0.0000 0.0000 0.0000 0.7204 0.0000 0.7204 
2026 5 7 10 10.0000 10.0100 0.0000 100.0000 15.4408 370.7683 1.7683 0.0000 0.0000 0.0000 0.7686 0.0000 0.7686 
2026 5 7 11 10.0000 17.9500 0.0000 100.0000 15.8338 370.8164 1.8164 0.0000 0.0000 0.0000 0.8167 0.0000 0.8167 
