POWERSTATION node 1 SVOLETJONN
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [m] [m] [MWh] [GWh/Mm3] [Euro] [Euro] [Euro] [Euro] [Euro] [Euro]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin Hnetto Hbrutto Power est_eekv income tot_cost startstopCost adjust_cost cost_aggressive_actions profit
2026 5 7 0 2.6400 24.8800 0.6600 2.6400 0.0000 61.9371 64.0280 1.4183 0.1492 35.2874 1.0000 1.0000 0.0000 0.0000 34.2874
2026 5 7 1 0.0000 25.8500 0.0000 0.0000 0.0000 64.0283 64.0283 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 2 0.0000 28.0000 0.0000 0.0000 0.0000 64.0330 64.0330 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 3 0.0000 23.0000 0.0000 0.0000 0.0000 64.0379 64.0379 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 4 4.0000 35.0000 1.0000 4.0000 0.0000 59.2362 64.0362 1.9630 0.1363 68.7052 1.0000 1.0000 0.0000 0.0000 67.7052
2026 5 7 5 4.0000 39.0000 1.0000 4.0000 0.0000 59.2275 64.0275 1.9627 0.1363 76.5461 0.0000 0.0000 0.0000 0.0000 76.5461
2026 5 7 6 4.0000 45.0000 1.0000 4.0000 0.0000 59.2190 64.0190 1.9624 0.1363 88.3096 0.0000 0.0000 0.0000 0.0000 88.3096
2026 5 7 7 0.0000 26.5600 0.0000 0.0000 0.0000 64.0173 64.0173 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 8 4.0000 52.9300 1.0000 4.0000 0.0000 59.2152 64.0152 1.9623 0.1363 103.8650 1.0000 1.0000 0.0000 0.0000 102.8650
2026 5 7 9 0.0000 10.9400 0.0000 0.0000 0.0000 64.0128 64.0128 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 10 0.0000 10.0100 0.0000 0.0000 0.0000 64.0178 64.0178 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 0.0000 64.0204 64.0204 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 12 4.0000 82.5800 1.0000 4.0000 0.0000 59.2132 64.0132 1.9622 0.1363 162.0422 1.0000 1.0000 0.0000 0.0000 161.0422
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 0.0000 64.0061 64.0061 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 14 4.0000 55.8200 1.0000 4.0000 0.0000 59.1989 63.9989 1.9618 0.1362 109.5060 1.0000 1.0000 0.0000 0.0000 108.5060
2026 5 7 15 3.4000 29.3900 0.8500 3.4000 0.0000 60.5176 63.9856 1.8015 0.1472 52.9462 0.0000 0.0000 0.0000 0.0000 52.9462
2026 5 7 16 4.0000 46.9600 1.0000 4.0000 0.0000 59.1723 63.9723 1.9609 0.1362 92.0834 0.0000 0.0000 0.0000 0.0000 92.0834
2026 5 7 17 3.0800 17.5900 0.7700 3.0800 0.0000 61.1137 63.9596 1.6480 0.1486 28.9888 0.0000 0.0000 0.0000 0.0000 28.9888
2026 5 7 18 4.0000 88.3300 1.0000 4.0000 0.0000 59.1469 63.9469 1.9600 0.1361 173.1309 0.0000 0.0000 0.0000 0.0000 173.1309
2026 5 7 19 4.0000 80.8200 1.0000 4.0000 0.0000 59.1325 63.9325 1.9596 0.1361 158.3725 0.0000 0.0000 0.0000 0.0000 158.3725
