CHANNEL node 1 SKJE
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 3.89
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 0.0000 0.00401228 0.5521 0.0000 
2026 5 7 1 0.0000 0.00256819 0.4011 0.0000 
2026 5 7 2 0.0000 0.00158218 0.2739 0.0000 
2026 5 7 3 0.0000 0.00094415 0.1772 0.0000 
2026 5 7 4 0.0000 0.00054877 0.1098 0.0000 
2026 5 7 5 0.0000 0.00031206 0.0658 0.0000 
2026 5 7 6 0.0000 0.00017424 0.0383 0.0000 
2026 5 7 7 0.0000 0.00009579 0.0218 0.0000 
2026 5 7 8 0.0000 0.00005197 0.0122 0.0000 
2026 5 7 9 0.0000 0.00002787 0.0067 0.0000 
2026 5 7 10 0.0000 0.00001480 0.0036 0.0000 
2026 5 7 11 0.0000 0.00000779 0.0019 0.0000 
