RESERVOIR node 2 HJELLE
reservoir_init_fr= 0.80000  masl=370.811
Filling at HRW [Mm3] = 9.16667
Filling at LRW [Mm3] = 1.00000
Active reservoir capacity [Mm3] = 8.16667
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 7 0 10.0000 24.8800 1.0000 100.0000 7.9257 369.8480 0.8480 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 
2026 5 7 1 10.0000 25.8500 1.0000 100.0000 8.3181 369.8961 0.8961 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 
2026 5 7 2 10.0000 28.0000 1.0000 100.0000 8.7105 369.9441 0.9441 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 
2026 5 7 3 10.0000 23.0000 1.0000 100.0000 9.1029 369.9922 0.9922 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 
2026 5 7 4 10.0000 35.0000 1.0000 100.0000 9.4952 370.0402 1.0402 0.0000 0.0000 1.0000 0.0402 0.0000 1.0402 
2026 5 7 5 10.0000 39.0000 1.0000 100.0000 9.8873 370.0882 1.0882 0.0000 0.0000 1.0000 0.0883 0.0000 1.0883 
2026 5 7 6 1000.0000 45.0000 1.0000 100.0000 13.8416 370.5724 1.5724 0.0000 0.0000 1.0000 0.5727 0.0000 1.5727 
2026 5 7 7 10.0000 26.5600 1.0000 100.0000 14.2318 370.6202 1.6202 0.0000 0.0000 1.0000 0.6205 0.0000 1.6205 
2026 5 7 8 10.0000 52.9300 1.0000 100.0000 14.6218 370.6680 1.6680 0.0000 0.0000 1.0000 0.6683 0.0000 1.6683 
2026 5 7 9 10.0000 10.9400 1.0000 100.0000 15.0116 370.7157 1.7157 0.0000 0.0000 1.0000 0.7160 0.0000 1.7160 
2026 5 7 10 10.0000 10.0100 1.0000 100.0000 15.4012 370.7634 1.7634 0.0000 0.0000 1.0000 0.7638 0.0000 1.7638 
2026 5 7 11 10.0000 17.9500 1.0000 100.0000 15.7907 370.8111 1.8111 0.0000 0.0000 1.0000 0.8115 0.0000 1.8115 
