CHANNEL node 3 ELV
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 3.89
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 1.5521 0.00944459 0.5953 0.0000 
2026 5 7 1 1.4011 0.01232773 0.6003 0.0000 
2026 5 7 2 1.2739 0.01430007 0.7260 0.0000 
2026 5 7 3 1.1772 0.01534798 0.8861 0.0000 
2026 5 7 4 1.1501 0.01584222 1.0128 0.0000 
2026 5 7 5 1.1540 0.01607249 1.0901 0.0000 
2026 5 7 6 1.6110 0.01775999 1.1422 0.0000 
2026 5 7 7 1.6423 0.01932424 1.2078 0.0000 
2026 5 7 8 1.6804 0.02069790 1.2989 0.0000 
2026 5 7 9 1.7227 0.02186160 1.3995 0.0000 
2026 5 7 10 1.7674 0.02284815 1.4933 0.0000 
2026 5 7 11 1.8134 0.02370704 1.5748 0.0000 
