RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.70000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.3500 564.8800 0.8000 0.0000 7.0538 753.9492 0.6726 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 2 0 0.3100 425.8500 0.8000 0.0000 6.8041 753.6906 0.6449 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 3 0 0.2800 383.9200 0.8000 0.0000 6.5518 753.4294 0.6169 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 4 0 0.3200 310.1000 0.8000 0.0000 6.3029 753.1717 0.5892 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 5 0 0.3800 388.8400 0.8000 0.0000 6.0593 752.9194 0.5621 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 6 0 0.4600 414.3500 0.8000 0.0000 5.8226 752.6742 0.5358 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 7 0 0.4700 451.5300 0.8000 0.0000 5.5867 752.4300 0.5096 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 8 0 0.4200 426.5600 0.8000 0.0000 5.3465 752.1813 0.4829 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 9 0 0.3800 352.9300 0.8000 0.0000 5.1028 751.9290 0.4559 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 10 0 0.4000 410.9400 0.8000 0.0000 4.8609 751.6785 0.4290 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 11 0 0.4800 400.0100 0.8000 0.0000 4.6259 751.4351 0.4029 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 12 0 0.7000 407.9500 0.8000 0.0000 4.4099 751.2115 0.3789 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 13 0 1.9000 382.5800 0.8000 0.0000 4.2976 751.0951 0.3664 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 14 0 1.3500 425.5000 0.8000 0.0000 4.1378 750.9296 0.3486 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 15 0 1.1200 355.8200 0.8000 0.0000 3.9580 750.7435 0.3287 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 16 0 0.9200 329.3900 0.8000 0.0000 3.7611 750.5396 0.3068 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 17 0 0.7600 246.9600 0.8000 0.0000 3.5502 750.3213 0.2834 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 18 0 0.6100 117.5900 0.8000 0.0000 3.3265 750.0895 0.2585 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 19 0 0.5100 288.3300 0.8000 0.0000 3.0940 749.8322 0.2327 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 20 0 0.4500 380.8200 0.8000 0.0000 2.8564 749.5591 0.2063 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 21 0 0.4100 388.8300 0.8000 0.0000 2.6154 749.2821 0.1795 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 22 0 0.3900 378.9000 0.8000 0.0000 2.3726 749.0030 0.1525 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 23 0 0.3900 359.9800 0.8000 0.0000 2.1298 748.8247 0.1255 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 24 0 0.4100 350.7100 0.8000 0.0000 1.8888 748.6487 0.0988 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 25 0 2.0800 299.0800 0.8000 0.0000 1.7920 748.5781 0.0880 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 26 0 3.4100 259.4000 0.8000 0.0000 1.8101 748.5913 0.0900 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 27 0 4.2500 306.8900 0.8000 0.0000 1.9009 748.6576 0.1001 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 28 0 5.8100 308.5200 0.8000 0.0000 2.1264 748.8222 0.1252 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 29 0 3.8800 347.1000 0.8000 0.0000 2.1851 748.8651 0.1317 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 9 30 0 2.9200 278.9700 0.8000 0.0000 2.1609 748.8474 0.1290 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 1 0 5.5200 90.2400 0.8000 0.0000 2.3614 748.9901 0.1513 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 2 0 6.6000 182.7200 0.8000 0.0000 2.6551 749.3277 0.1839 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 3 0 5.8000 234.6000 0.8000 0.0000 2.8798 749.5859 0.2089 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 4 0 5.6700 199.0100 0.8000 0.0000 3.0932 749.8312 0.2326 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 5 0 11.5200 51.1100 0.8000 0.0000 3.8120 750.5923 0.3124 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 6 0 16.9100 23.8700 0.8000 0.0000 4.9966 751.8189 0.4441 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 7 0 6.8200 30.2900 0.8000 0.0000 5.3093 752.1428 0.4788 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 8 0 5.7800 53.3800 0.8000 0.0000 5.5323 752.3736 0.5036 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 9 0 4.5600 91.9400 0.8000 0.0000 5.6498 752.4953 0.5166 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 10 0 3.9300 137.7100 0.8000 0.0000 5.7128 752.5606 0.5236 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 11 0 3.7400 174.3200 0.8000 0.0000 5.7595 752.6089 0.5288 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 12 0 3.2100 199.9900 0.8000 0.0000 5.7604 752.6098 0.5289 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 13 0 2.8500 233.6000 0.8000 0.0000 5.7301 752.5785 0.5256 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 14 0 2.4700 217.2400 0.8000 0.0000 5.6670 752.5132 0.5186 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 15 0 3.8100 154.6600 0.8000 0.0000 5.7197 752.5678 0.5244 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 16 0 4.4300 113.2100 0.8000 0.0000 5.8260 752.6778 0.5362 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 17 0 4.1600 146.2200 0.8000 0.0000 5.9090 752.7637 0.5454 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 18 0 3.9000 163.8200 0.8000 0.0000 5.9694 752.8263 0.5522 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 19 0 3.3700 159.7000 0.8000 0.0000 5.9841 752.8416 0.5538 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 20 0 2.7600 142.1100 0.8000 0.0000 5.9461 752.8022 0.5496 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 21 0 2.3900 157.4800 0.8000 0.0000 5.8761 752.7297 0.5418 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 22 0 2.2700 142.0700 0.8000 0.0000 5.7958 752.6465 0.5329 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 23 0 4.9200 99.6700 0.8000 0.0000 5.9444 752.8004 0.5494 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 24 0 6.5900 85.2000 0.8000 0.0000 6.2373 753.1037 0.5819 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 25 0 4.7700 110.5100 0.8000 0.0000 6.3729 753.2442 0.5970 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 26 0 11.7500 121.4900 0.8000 0.0000 7.1116 754.0091 0.6791 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 27 0 6.6800 117.6600 0.8000 0.0000 7.4123 754.3204 0.7125 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 28 0 4.9600 103.2200 0.8000 0.0000 7.5644 754.4779 0.7294 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 29 0 5.9400 101.6200 0.8000 0.0000 7.8011 754.7231 0.7557 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 30 0 5.4200 117.9300 0.8000 0.0000 7.9929 754.9217 0.7770 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 10 31 0 3.3700 144.1300 0.8000 0.0000 8.0076 754.9369 0.7786 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 11 1 0 3.3700 72.4900 0.8000 0.0000 8.0223 754.9521 0.7803 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 11 2 0 5.4300 71.1700 0.8000 0.0000 8.2150 755.1516 0.8017 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 11 3 0 10.8000 86.5000 0.8000 0.0000 8.8716 755.8316 0.8746 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 11 4 0 9.9300 72.6700 0.8000 0.0000 9.4531 756.4337 0.9392 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 11 5 0 8.1600 47.6500 0.8000 0.0000 9.8816 756.8774 0.9868 0.0000 3.2000 0.0000 0.0000 0.0000 3.2000 
2022 11 6 0 6.0300 35.7500 0.8000 0.0000 10.1043 757.0209 1.0116 0.0000 3.2000 0.0000 0.2523 0.0000 3.4523 
2022 11 7 0 7.6100 43.8300 0.8000 0.0000 10.4015 757.0803 1.0446 0.0000 3.2000 0.0000 0.9707 0.0000 4.1707 
2022 11 8 0 6.5400 51.0900 0.8000 0.0000 10.5708 757.1142 1.0634 0.0000 3.2000 0.0000 1.3801 0.0000 4.5801 
2022 11 9 0 7.6100 42.5700 0.8000 0.0000 10.7874 757.1575 1.0875 0.0000 3.2000 0.0000 1.9037 0.0000 5.1037 
2022 11 10 0 5.8800 27.4000 0.8000 0.0000 10.8429 757.1686 1.0937 0.0000 3.2000 0.0000 2.0379 0.0000 5.2379 
2022 11 11 0 4.7500 2.0000 0.8000 0.0000 10.8080 757.1616 1.0898 0.0000 3.2000 0.0000 1.9535 0.0000 5.1535 
2022 11 12 0 3.8900 2.3700 0.8000 0.0000 10.7177 757.1435 1.0797 0.0000 3.2000 0.0000 1.7352 0.0000 4.9352 
