POWERSTATION node 10 EASTER
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.145000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 0.0000 564.8800 0.0000 0.0000 0.0000 0.0000 0.0000 189.7219 189.7219 0.0000 0.0000 0.0000 0.0000
2022 9 2 0 0.0000 425.8500 0.0000 0.0000 0.0000 0.0000 0.0000 189.7446 189.7446 0.0000 0.0000 0.0000 0.0000
2022 9 3 0 0.0000 383.9200 0.0000 0.0000 0.0000 0.0000 0.0000 189.7645 189.7645 0.0000 0.0000 0.0000 0.0000
2022 9 4 0 6.1740 310.1000 0.6300 6.1740 0.0000 72833.5937 1.0000 184.2516 189.7788 234.8713 0.0000 72832.5937 0.4403
2022 9 5 0 7.8400 388.8400 0.8000 7.8400 0.0000 115881.5705 0.0000 180.9011 189.8136 298.0186 0.0000 115881.5705 0.4400
2022 9 6 0 7.8400 414.3500 0.8000 7.8400 0.0000 123531.3740 0.0000 180.9705 189.8830 298.1329 0.0000 123531.3740 0.4401
2022 9 7 0 7.8400 451.5300 0.8000 7.8400 0.0000 134674.5130 0.0000 181.0492 189.9617 298.2626 0.0000 134674.5130 0.4403
2022 9 8 0 7.8400 426.5600 0.8000 7.8400 0.0000 127281.8961 0.0000 181.1275 190.0400 298.3915 0.0000 127281.8961 0.4405
2022 9 9 0 7.8400 352.9300 0.8000 7.8400 0.0000 105356.1265 0.0000 181.2045 190.1170 298.5185 0.0000 105356.1265 0.4407
2022 9 10 0 7.8400 410.9400 0.8000 7.8400 0.0000 122724.6356 0.0000 181.2805 190.1930 298.6437 0.0000 122724.6356 0.4409
2022 9 11 0 7.8400 400.0100 0.8000 7.8400 0.0000 119509.9617 0.0000 181.3556 190.2682 298.7674 0.0000 119509.9617 0.4411
2022 9 12 0 7.8400 407.9500 0.8000 7.8400 0.0000 121941.0715 0.0000 181.4433 190.3558 298.9118 0.0000 121941.0715 0.4413
2022 9 13 0 7.8400 382.5800 0.8000 7.8400 0.0000 114459.6914 0.0000 181.6051 190.5177 299.1785 0.0000 114459.6914 0.4417
2022 9 14 0 7.8400 425.5000 0.8000 7.8400 0.0000 127435.4064 0.0000 181.7977 190.7102 299.4957 0.0000 127435.4064 0.4421
2022 9 15 0 7.8400 355.8200 0.8000 7.8400 0.0000 106654.8195 0.0000 181.9483 190.8608 299.7437 0.0000 106654.8195 0.4425
2022 9 16 0 7.8400 329.3900 0.8000 7.8400 0.0000 98804.1648 0.0000 182.0802 190.9927 299.9610 0.0000 98804.1648 0.4428
2022 9 17 0 7.8400 246.9600 0.8000 7.8400 0.0000 74126.4397 0.0000 182.1983 191.1108 300.1556 0.0000 74126.4397 0.4431
2022 9 18 0 7.8400 117.5900 0.8000 7.8400 0.0000 35316.0006 0.0000 182.3052 191.2177 300.3317 0.0000 35316.0006 0.4434
2022 9 19 0 7.8400 288.3300 0.8000 7.8400 0.0000 86641.3632 0.0000 182.4036 191.3161 300.4938 0.0000 86641.3632 0.4436
2022 9 20 0 7.8400 380.8200 0.8000 7.8400 0.0000 114492.5565 0.0000 182.4968 191.4093 300.6474 0.0000 114492.5565 0.4438
2022 9 21 0 7.8400 388.8300 0.8000 7.8400 0.0000 116958.6786 0.0000 182.5873 191.4998 300.7964 0.0000 116958.6786 0.4441
2022 9 22 0 7.8400 378.9000 0.8000 7.8400 0.0000 114026.9141 0.0000 182.6756 191.5881 300.9420 0.0000 114026.9141 0.4443
2022 9 23 0 7.8400 359.9800 0.8000 7.8400 0.0000 108385.5900 0.0000 182.7641 191.6767 301.0878 0.0000 108385.5900 0.4445
2022 9 24 0 7.8400 350.7100 0.8000 7.8400 0.0000 105646.9659 0.0000 182.8550 191.7675 301.2374 0.0000 105646.9659 0.4447
2022 9 25 0 7.8400 299.0800 0.8000 7.8400 0.0000 90139.4275 0.0000 182.9470 191.8595 301.3890 0.0000 90139.4275 0.4449
2022 9 26 0 7.8400 259.4000 0.8000 7.8400 0.0000 78232.0792 0.0000 183.0681 191.9806 301.5886 0.0000 78232.0792 0.4452
2022 9 27 0 7.8400 306.8900 0.8000 7.8400 0.0000 92652.0536 0.0000 183.2610 192.1735 301.9064 0.0000 92652.0536 0.4457
2022 9 28 0 7.8400 308.5200 0.8000 7.8400 0.0000 93321.6898 0.0000 183.6103 192.5228 302.4818 0.0000 93321.6898 0.4465
2022 9 29 0 7.8400 347.1000 0.8000 7.8400 0.0000 105222.0339 0.0000 184.0136 192.9261 303.1462 0.0000 105222.0339 0.4475
2022 9 30 0 7.8400 278.9700 0.8000 7.8400 0.0000 84710.5784 0.0000 184.3223 193.2349 303.6548 0.0000 84710.5784 0.4483
2022 10 1 0 7.8400 90.2400 0.8000 7.8400 0.0000 27461.3904 0.0000 184.7231 193.6356 304.3151 0.0000 27461.3904 0.4493
2022 10 2 0 7.8400 182.7200 0.8000 7.8400 0.0000 55759.0084 0.0000 185.2366 194.1491 305.1609 0.0000 55759.0084 0.4505
2022 10 3 0 7.8400 234.6000 0.8000 7.8400 0.0000 71761.3321 0.0000 185.6779 194.5905 305.8880 0.0000 71761.3321 0.4516
2022 10 4 0 7.8400 199.0100 0.8000 7.8400 0.0000 60987.4737 0.0000 186.0217 194.9342 306.4543 0.0000 60987.4737 0.4524
2022 10 5 0 7.8400 51.1100 0.8000 7.8400 0.0000 15687.4168 0.0000 186.3131 195.2256 306.9344 0.0000 15687.4168 0.4531
2022 10 6 0 7.8400 23.8700 0.8000 7.8400 0.0000 7338.6051 0.0000 186.6203 195.5328 307.4405 0.0000 7338.6051 0.4539
2022 10 7 0 7.8400 30.2900 0.8000 7.8400 0.0000 9329.9935 0.0000 186.9734 195.8859 308.0222 0.0000 9329.9935 0.4547
2022 10 8 0 7.8400 53.3800 0.8000 7.8400 0.0000 16476.1229 0.0000 187.3589 196.2714 308.6572 0.0000 16476.1229 0.4557
2022 10 9 0 7.8400 91.9400 0.8000 7.8400 0.0000 28433.1364 0.0000 187.7233 196.6358 309.2575 0.0000 28433.1364 0.4566
2022 10 10 0 7.8400 137.7100 0.8000 7.8400 0.0000 42658.7738 0.0000 188.0359 196.9484 309.7725 0.0000 42658.7738 0.4573
2022 10 11 0 7.8400 174.3200 0.8000 7.8400 0.0000 54084.3943 0.0000 188.3313 197.2438 310.2592 0.0000 54084.3943 0.4580
