POWERSTATION node 1 SVOLETJONN
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 3.2000 564.8800 0.8000 3.2000 0.0000 23171.5578 1.0000 61.0047 64.0767 41.0203 0.0000 23170.5578 0.1484
2022 9 2 0 3.2000 425.8500 0.8000 3.2000 0.0000 17394.9771 0.0000 60.7479 63.8199 40.8477 0.0000 17394.9771 0.1477
2022 9 3 0 3.2000 383.9200 0.8000 3.2000 0.0000 15615.1403 0.0000 60.4880 63.5600 40.6729 0.0000 15615.1403 0.1471
2022 9 4 0 3.2000 310.1000 0.8000 3.2000 0.0000 12558.5661 0.0000 60.2285 63.3005 40.4984 0.0000 12558.5661 0.1465
2022 9 5 0 3.2000 388.8400 0.8000 3.2000 0.0000 15680.7448 0.0000 59.9735 63.0455 40.3270 0.0000 15680.7448 0.1459
2022 9 6 0 3.2000 414.3500 0.8000 3.2000 0.0000 16640.1897 0.0000 59.7248 62.7968 40.1597 0.0000 16640.1897 0.1453
2022 9 7 0 3.2000 451.5300 0.8000 3.2000 0.0000 18059.0362 0.0000 59.4801 62.5521 39.9952 0.0000 18059.0362 0.1447
2022 9 8 0 3.2000 426.5600 0.8000 3.2000 0.0000 16989.6585 0.0000 59.2336 62.3056 39.8295 0.0000 16989.6585 0.1441
2022 9 9 0 3.2000 352.9300 0.8000 3.2000 0.0000 13997.5650 0.0000 58.9831 62.0551 39.6610 0.0000 13997.5650 0.1434
2022 9 10 0 3.2000 410.9400 0.8000 3.2000 0.0000 16228.8332 0.0000 58.7317 61.8037 39.4920 0.0000 16228.8332 0.1428
2022 9 11 0 3.2000 400.0100 0.8000 3.2000 0.0000 15730.7689 0.0000 58.4848 61.5568 39.3259 0.0000 15730.7689 0.1422
2022 9 12 0 3.2000 407.9500 0.8000 3.2000 0.0000 15978.9626 0.0000 58.2513 61.3233 39.1689 0.0000 15978.9626 0.1417
2022 9 13 0 3.2000 382.5800 0.8000 3.2000 0.0000 14941.5163 0.0000 58.0813 61.1533 39.0546 0.0000 14941.5163 0.1413
2022 9 14 0 3.2000 425.5000 0.8000 3.2000 0.0000 16577.4247 0.0000 57.9404 61.0124 38.9599 0.0000 16577.4247 0.1409
2022 9 15 0 3.2000 355.8200 0.8000 3.2000 0.0000 13820.6389 0.0000 57.7646 60.8366 38.8417 0.0000 13820.6389 0.1405
2022 9 16 0 3.2000 329.3900 0.8000 3.2000 0.0000 12750.8557 0.0000 57.5695 60.6415 38.7105 0.0000 12750.8557 0.1400
2022 9 17 0 3.2000 246.9600 0.8000 3.2000 0.0000 9524.8857 0.0000 57.3584 60.4304 38.5685 0.0000 9524.8857 0.1395
2022 9 18 0 3.2000 117.5900 0.8000 3.2000 0.0000 4517.4826 0.0000 57.1334 60.2054 38.4172 0.0000 4517.4826 0.1390
2022 9 19 0 3.2000 288.3300 0.8000 3.2000 0.0000 11029.4366 0.0000 56.8889 59.9609 38.2528 0.0000 11029.4366 0.1384
2022 9 20 0 3.2000 380.8200 0.8000 3.2000 0.0000 14499.5321 0.0000 56.6237 59.6957 38.0745 0.0000 14499.5321 0.1377
2022 9 21 0 3.2000 388.8300 0.8000 3.2000 0.0000 14732.5847 0.0000 56.3486 59.4206 37.8895 0.0000 14732.5847 0.1370
2022 9 22 0 3.2000 378.9000 0.8000 3.2000 0.0000 14285.4963 0.0000 56.0705 59.1425 37.7026 0.0000 14285.4963 0.1364
2022 9 23 0 3.2000 359.9800 0.8000 3.2000 0.0000 13516.8102 0.0000 55.8418 58.9138 37.5488 0.0000 13516.8102 0.1358
2022 9 24 0 3.2000 350.7100 0.8000 3.2000 0.0000 13126.9609 0.0000 55.6647 58.7367 37.4297 0.0000 13126.9609 0.1354
2022 9 25 0 3.2000 299.0800 0.8000 3.2000 0.0000 11169.6716 0.0000 55.5414 58.6134 37.3468 0.0000 11169.6716 0.1351
2022 9 26 0 3.2000 259.4000 0.8000 3.2000 0.0000 9682.7470 0.0000 55.5127 58.5847 37.3275 0.0000 9682.7470 0.1350
2022 9 27 0 3.2000 306.8900 0.8000 3.2000 0.0000 11463.6284 0.0000 55.5525 58.6245 37.3542 0.0000 11463.6284 0.1351
2022 9 28 0 3.2000 308.5200 0.8000 3.2000 0.0000 11548.4570 0.0000 55.6679 58.7399 37.4318 0.0000 11548.4570 0.1354
2022 9 29 0 3.2000 347.1000 0.8000 3.2000 0.0000 13016.7893 0.0000 55.7716 58.8436 37.5016 0.0000 13016.7893 0.1356
2022 9 30 0 3.2000 278.9700 0.8000 3.2000 0.0000 10464.1743 0.0000 55.7842 58.8562 37.5100 0.0000 10464.1743 0.1357
2022 10 1 0 3.2000 90.2400 0.8000 3.2000 0.0000 3388.6989 0.0000 55.8467 58.9187 37.5521 0.0000 3388.6989 0.1358
2022 10 2 0 3.2000 182.7200 0.8000 3.2000 0.0000 6891.0234 0.0000 56.0869 59.1589 37.7136 0.0000 6891.0234 0.1364
2022 10 3 0 3.2000 234.6000 0.8000 3.2000 0.0000 8894.6016 0.0000 56.3848 59.4568 37.9139 0.0000 8894.6016 0.1371
