POWERSTATION node 6 SVEIGSHYL_I
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.200000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 0.0000 564.8800 0.0000 0.0000 0.0000 0.0000 0.0000 66.0380 66.0380 0.0000 0.0000 0.0000 0.0000
2022 9 2 0 0.0000 425.8500 0.0000 0.0000 0.0000 0.0000 0.0000 66.1050 66.1050 0.0000 0.0000 0.0000 0.0000
2022 9 3 0 0.0000 383.9200 0.0000 0.0000 0.0000 0.0000 0.0000 66.1752 66.1752 0.0000 0.0000 0.0000 0.0000
2022 9 4 0 3.7170 310.1000 0.6300 3.7170 0.0000 15100.6986 1.0000 63.4449 66.2081 48.6962 0.0000 15099.6986 0.1516
2022 9 5 0 4.7200 388.8400 0.8000 4.7200 0.0000 23809.4715 0.0000 61.7377 66.1934 61.2321 0.0000 23809.4715 0.1501
2022 9 6 0 4.7200 414.3500 0.8000 4.7200 0.0000 25361.3031 0.0000 61.7129 66.1686 61.2074 0.0000 25361.3031 0.1501
2022 9 7 0 4.7200 451.5300 0.8000 4.7200 0.0000 27625.8814 0.0000 61.6881 66.1438 61.1828 0.0000 27625.8814 0.1500
2022 9 8 0 4.7200 426.5600 0.8000 4.7200 0.0000 26087.5173 0.0000 61.6630 66.1187 61.1579 0.0000 26087.5173 0.1500
2022 9 9 0 4.7200 352.9300 0.8000 4.7200 0.0000 21575.5230 0.0000 61.6374 66.0931 61.1326 0.0000 21575.5230 0.1499
2022 9 10 0 4.7200 410.9400 0.8000 4.7200 0.0000 25111.2939 0.0000 61.6116 66.0673 61.1070 0.0000 25111.2939 0.1498
2022 9 11 0 4.7200 400.0100 0.8000 4.7200 0.0000 24433.1849 0.0000 61.5859 66.0416 61.0814 0.0000 24433.1849 0.1498
2022 9 12 0 4.7200 407.9500 0.8000 4.7200 0.0000 24908.9982 0.0000 61.5632 66.0189 61.0589 0.0000 24908.9982 0.1497
2022 9 13 0 4.7200 382.5800 0.8000 4.7200 0.0000 23357.8385 0.0000 61.5577 66.0134 61.0535 0.0000 23357.8385 0.1497
2022 9 14 0 4.7200 425.5000 0.8000 4.7200 0.0000 25978.9873 0.0000 61.5594 66.0151 61.0552 0.0000 25978.9873 0.1497
2022 9 15 0 4.7200 355.8200 0.8000 4.7200 0.0000 21721.8862 0.0000 61.5516 66.0072 61.0474 0.0000 21721.8862 0.1497
2022 9 16 0 4.7200 329.3900 0.8000 4.7200 0.0000 20104.3668 0.0000 61.5392 65.9949 61.0351 0.0000 20104.3668 0.1497
