POWERSTATION node 7 SVEIGSHYL_II
init_Power = 0.00000
penstock_config = SEPARATE
headloss_coef = 0.145000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 0.0000 564.8800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2734 166.2734 0.0000 0.0000 0.0000 0.0000
2022 9 2 0 0.0000 425.8500 0.0000 0.0000 0.0000 0.0000 0.0000 166.2760 166.2760 0.0000 0.0000 0.0000 0.0000
2022 9 3 0 0.0000 383.9200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2783 166.2783 0.0000 0.0000 0.0000 0.0000
2022 9 4 0 3.7800 310.1000 0.6300 3.7800 0.0000 39392.0558 1.0000 164.1856 166.2574 127.0302 0.0000 39391.0558 0.3890
2022 9 5 0 4.8000 388.8400 0.8000 4.8000 0.0000 62010.6318 0.0000 162.8665 166.2073 159.4760 0.0000 62010.6318 0.3845
2022 9 6 0 4.8000 414.3500 0.8000 4.8000 0.0000 66056.1338 0.0000 162.8105 166.1513 159.4211 0.0000 66056.1338 0.3844
2022 9 7 0 4.8000 451.5300 0.8000 4.8000 0.0000 71958.7469 0.0000 162.7547 166.0955 159.3665 0.0000 71958.7469 0.3843
2022 9 8 0 4.8000 426.5600 0.8000 4.8000 0.0000 67955.9902 0.0000 162.6987 166.0395 159.3117 0.0000 67955.9902 0.3841
2022 9 9 0 4.8000 352.9300 0.8000 4.8000 0.0000 56206.4235 0.0000 162.6425 165.9833 159.2566 0.0000 56206.4235 0.3840
2022 9 10 0 4.8000 410.9400 0.8000 4.8000 0.0000 65422.2311 0.0000 162.5861 165.9269 159.2014 0.0000 65422.2311 0.3839
2022 9 11 0 4.8000 400.0100 0.8000 4.8000 0.0000 63660.1920 0.0000 162.5300 165.8708 159.1465 0.0000 63660.1920 0.3837
2022 9 12 0 4.8000 407.9500 0.8000 4.8000 0.0000 64901.9026 0.0000 162.4752 165.8160 159.0928 0.0000 64901.9026 0.3836
2022 9 13 0 4.8000 382.5800 0.8000 4.8000 0.0000 60847.5631 0.0000 162.4267 165.7675 159.0453 0.0000 60847.5631 0.3835
