RESERVOIR node 9 KROKNESVATN
reservoir_init_fr= 0.66000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.6400 564.8800 9999999.0000 0.0657 150.8792 407.7344 0.6603 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 2 0 0.5800 425.8500 9999999.0000 0.0037 150.9296 407.7549 0.6606 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 3 0 0.5400 383.9200 9999999.0000 0.0001 150.9763 407.7740 0.6608 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2022 9 4 0 0.6700 310.1000 9999999.0000 5.7746 150.9996 407.7835 0.6609 0.0000 6.1740 0.0000 0.0000 0.0000 6.1740 
2022 9 5 0 0.6400 388.8400 9999999.0000 8.9077 151.1472 407.8438 0.6617 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 6 0 0.5900 414.3500 9999999.0000 9.4759 151.3395 407.9222 0.6626 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 7 0 0.5600 451.5300 9999999.0000 9.5188 151.5329 408.0012 0.6636 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 8 0 0.5200 426.5600 9999999.0000 9.5200 151.7230 408.0788 0.6645 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 9 0 0.4900 352.9300 9999999.0000 9.5200 151.9105 408.1553 0.6655 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 10 0 0.4600 410.9400 9999999.0000 9.5200 152.0954 408.2308 0.6664 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 11 0 0.4400 400.0100 9999999.0000 9.5200 152.2786 408.3055 0.6673 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 12 0 1.1700 407.9500 9999999.0000 9.5200 152.5248 408.4060 0.6686 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 13 0 4.6500 382.5800 9999999.0000 9.5200 153.0717 408.6293 0.6713 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 14 0 2.9100 425.5000 9999999.0000 9.5200 153.4683 408.7911 0.6733 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 15 0 2.2700 355.8200 9999999.0000 9.5200 153.8096 408.9304 0.6750 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 16 0 1.8500 329.3900 9999999.0000 9.5200 154.1146 409.0549 0.6765 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 17 0 1.4900 246.9600 9999999.0000 9.5200 154.3885 409.1667 0.6779 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 18 0 1.2100 117.5900 9999999.0000 9.5200 154.6382 409.2686 0.6792 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 19 0 1.0100 288.3300 9999999.0000 9.5200 154.8706 409.3635 0.6803 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 20 0 0.9200 380.8200 9999999.0000 9.5200 155.0952 409.4552 0.6815 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 21 0 0.8500 388.8300 9999999.0000 9.5200 155.3138 409.5444 0.6826 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 22 0 0.8000 378.9000 9999999.0000 9.5200 155.5281 409.6319 0.6836 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 23 0 0.8600 359.9800 9999999.0000 9.5200 155.7475 409.7214 0.6847 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 24 0 0.9300 350.7100 9999999.0000 9.5200 155.9730 409.8135 0.6859 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 25 0 0.9300 299.0800 9999999.0000 9.5200 156.1985 409.9055 0.6870 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 26 0 2.5800 259.4000 9999999.0000 9.5200 156.5666 410.0558 0.6888 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 27 0 5.0000 306.8900 9999999.0000 9.5200 157.1438 410.2913 0.6917 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 28 0 11.4500 308.5200 9999999.0000 9.5200 158.2782 410.7544 0.6974 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 29 0 8.0600 347.1000 9999999.0000 9.5200 159.1197 411.0978 0.7017 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 9 30 0 6.0900 278.9700 9999999.0000 9.5200 159.7911 411.3719 0.7050 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 1 0 13.2800 90.2400 9999999.0000 9.5200 161.0836 411.8994 0.7115 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 2 0 12.4800 182.7200 9999999.0000 9.5200 162.3070 412.3988 0.7177 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 3 0 9.1900 234.6000 9999999.0000 9.5200 163.2462 412.7821 0.7224 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 4 0 7.1400 199.0100 9999999.0000 9.5200 164.0082 413.0863 0.7262 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 5 0 6.8500 51.1100 9999999.0000 9.5200 164.7452 413.3649 0.7299 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 6 0 8.6000 23.8700 9999999.0000 9.5200 165.6334 413.7007 0.7343 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 7 0 9.6600 30.2900 9999999.0000 9.5200 166.6132 414.0712 0.7393 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 8 0 10.5800 53.3800 9999999.0000 9.5200 167.6725 414.4716 0.7446 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 9 0 8.3700 91.9400 9999999.0000 9.5200 168.5408 414.7999 0.7489 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 10 0 7.4100 137.7100 9999999.0000 9.5200 169.3262 415.0968 0.7529 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 11 0 7.3200 174.3200 9999999.0000 9.5200 170.1038 415.3908 0.7568 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 12 0 6.1200 199.9900 9999999.0000 9.5200 170.7777 415.6456 0.7602 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 13 0 5.7400 233.6000 9999999.0000 9.5200 171.4188 415.8880 0.7634 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 14 0 5.1400 217.2400 9999999.0000 9.5200 172.0080 416.1108 0.7663 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 15 0 9.4700 154.6600 9999999.0000 9.5200 172.9714 416.4750 0.7712 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 16 0 11.5600 113.2100 9999999.0000 9.5200 174.1153 416.9075 0.7769 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 17 0 11.0000 146.2200 9999999.0000 9.5200 175.2109 417.3217 0.7824 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 18 0 10.4500 163.8200 9999999.0000 9.5200 176.2589 417.7179 0.7877 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 19 0 9.0000 159.7000 9999999.0000 9.5200 177.1816 418.0668 0.7923 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 20 0 7.3400 142.1100 9999999.0000 9.5200 177.9610 418.3614 0.7962 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 21 0 6.1000 157.4800 9999999.0000 9.5200 178.6332 418.6156 0.7996 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 22 0 5.2100 142.0700 9999999.0000 9.5200 179.2285 418.8406 0.8026 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 23 0 4.5600 99.6700 9999999.0000 9.5200 179.7676 419.0445 0.8053 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 24 0 4.7600 85.2000 9999999.0000 9.5200 180.3240 419.2548 0.8081 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 25 0 6.4100 110.5100 9999999.0000 9.5200 181.0230 419.5191 0.8116 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 26 0 5.7200 121.4900 9999999.0000 9.5200 181.6623 419.7608 0.8148 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 27 0 5.4500 117.6600 9999999.0000 9.5200 182.2784 419.9937 0.8179 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 28 0 4.8700 103.2200 9999999.0000 9.5200 182.8443 420.2077 0.8207 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 29 0 5.1800 101.6200 9999999.0000 9.5200 183.4370 420.4318 0.8237 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 30 0 4.5200 117.9300 9999999.0000 9.5200 183.9727 420.6343 0.8264 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 10 31 0 4.0600 144.1300 9999999.0000 9.5200 184.4686 420.8218 0.8289 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 1 0 4.5000 72.4900 9999999.0000 9.5200 185.0026 421.0237 0.8315 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 2 0 7.9100 71.1700 9999999.0000 9.5200 185.8311 421.3369 0.8357 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 3 0 15.3900 86.5000 9999999.0000 9.5200 187.3060 421.8945 0.8431 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 4 0 19.8000 72.6700 9999999.0000 9.5200 189.1619 422.5962 0.8524 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 5 0 19.1200 47.6500 9999999.0000 9.5200 190.9590 423.2572 0.8614 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 6 0 14.4100 35.7500 9999999.0000 9.5200 192.3492 423.7478 0.8684 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 7 0 19.9200 43.8300 9999999.0000 9.5200 194.2154 424.4063 0.8778 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 8 0 17.2300 51.0900 9999999.0000 9.5200 195.8492 424.9828 0.8860 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 9 0 20.7600 42.5700 9999999.0000 9.5200 197.7880 425.6669 0.8957 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 10 0 15.9200 27.4000 9999999.0000 9.5200 199.3087 426.2035 0.9033 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 11 0 12.7600 2.0000 9999999.0000 9.5200 200.5563 426.6437 0.9096 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 12 0 10.2600 2.3700 9999999.0000 9.5200 201.5879 427.0077 0.9148 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 13 0 8.3600 29.9300 9999999.0000 9.5200 202.4554 427.3138 0.9191 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 14 0 6.8900 53.6800 9999999.0000 9.5200 203.1958 427.5751 0.9228 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 15 0 6.0500 53.7500 9999999.0000 9.5411 203.8655 427.8114 0.9262 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 16 0 6.5500 27.6900 9999999.0000 9.6606 204.5887 428.0666 0.9298 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 17 0 5.7900 48.9100 9999999.0000 9.8981 205.2668 428.3059 0.9332 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 18 0 4.7700 113.7000 9999999.0000 10.0921 205.8735 428.5199 0.9363 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 19 0 4.0600 167.1000 9999999.0000 10.2231 206.4302 428.7164 0.9391 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 20 0 3.5100 162.8400 9999999.0000 10.3234 206.9480 428.8991 0.9417 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 21 0 3.0800 209.5500 9999999.0000 10.3860 207.4341 429.0706 0.9441 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 22 0 2.7600 174.4300 9999999.0000 10.4162 207.8952 429.2333 0.9464 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 23 0 2.7100 149.8400 9999999.0000 10.4331 208.3534 429.3950 0.9487 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 24 0 3.7700 172.1800 9999999.0000 10.4506 208.9046 429.5895 0.9515 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 25 0 8.4400 200.3300 9999999.0000 10.5199 209.8654 429.9285 0.9563 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 26 0 11.5300 196.0200 9999999.0000 10.6526 211.1046 430.3658 0.9625 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 27 0 11.5900 146.0400 9999999.0000 10.8142 212.3629 430.8098 0.9689 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 28 0 19.2200 195.3000 9999999.0000 11.0717 214.3028 431.4943 0.9786 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 29 0 13.0800 362.5600 9999999.0000 11.2696 215.7292 431.9976 0.9857 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 11 30 0 8.5700 364.6000 9999999.0000 11.3778 216.7753 432.3667 0.9910 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 12 1 0 6.3800 349.6500 9999999.0000 11.4238 217.6362 432.6705 0.9953 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 12 2 0 5.2000 324.9900 9999999.0000 11.4292 218.3956 432.9385 0.9991 0.0000 7.8400 0.0000 0.0000 0.0000 7.8400 
2022 12 3 0 4.4600 268.8200 9999999.0000 11.4042 219.0779 433.0125 1.0025 0.0000 7.8400 0.0000 0.1274 0.0000 7.9674 
2022 12 4 0 3.9000 271.5000 9999999.0000 11.3561 219.6942 433.0276 1.0056 0.0000 7.8400 0.0000 0.2821 0.0000 8.1221 
2022 12 5 0 3.4900 290.7800 9999999.0000 11.2906 220.2573 433.0414 1.0085 0.0000 7.8400 0.0000 0.4234 0.0000 8.2634 
2022 12 6 0 3.4700 346.8000 9999999.0000 11.2217 220.8009 433.0548 1.0112 0.0000 7.8400 0.0000 0.5598 0.0000 8.3998 
2022 12 7 0 3.3800 334.1100 9999999.0000 11.1534 221.3196 433.0675 1.0138 0.0000 7.8400 0.0000 0.6900 0.0000 8.5300 
2022 12 8 0 3.6400 399.0300 9999999.0000 11.0908 221.8440 433.0804 1.0164 0.0000 7.8400 0.0000 0.8216 0.0000 8.6616 
2022 12 9 0 3.9500 418.6900 9999999.0000 11.0355 222.3788 433.0935 1.0191 0.0000 7.8400 0.0000 0.9558 0.0000 8.7958 
2022 12 10 0 3.9400 362.9800 9999999.0000 10.9833 222.8970 433.1063 1.0217 0.0000 7.8400 0.0000 1.0858 0.0000 8.9258 
2022 12 11 0 4.2600 338.6100 9999999.0000 10.9371 223.4274 433.1193 1.0244 0.0000 7.8400 0.0000 1.2189 0.0000 9.0589 
2022 12 12 0 4.3100 446.1100 9999999.0000 10.8945 223.9471 433.1321 1.0270 0.0000 7.8400 0.0000 1.3493 0.0000 9.1893 
2022 12 13 0 4.1100 458.6300 9999999.0000 10.8511 224.4352 433.1441 1.0294 0.0000 7.8400 0.0000 1.4718 0.0000 9.3118 
