POWERSTATION node 10 EASTER
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.145000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 0.0000 495.0100 0.0000 0.0000 0.0000 0.0000 0.0000 189.7102 189.7102 0.0000 0.0000 0.0000 0.0000
2022 9 1 1 0.0000 494.9900 0.0000 0.0000 0.0000 0.0000 0.0000 189.7117 189.7117 0.0000 0.0000 0.0000 0.0000
2022 9 1 2 0.0000 490.5800 0.0000 0.0000 0.0000 0.0000 0.0000 189.7131 189.7131 0.0000 0.0000 0.0000 0.0000
2022 9 1 3 0.0000 501.0100 0.0000 0.0000 0.0000 0.0000 0.0000 189.7144 189.7144 0.0000 0.0000 0.0000 0.0000
2022 9 1 4 0.0000 568.4400 0.0000 0.0000 0.0000 0.0000 0.0000 189.7157 189.7157 0.0000 0.0000 0.0000 0.0000
2022 9 1 5 0.0000 590.4500 0.0000 0.0000 0.0000 0.0000 0.0000 189.7168 189.7168 0.0000 0.0000 0.0000 0.0000
2022 9 1 6 0.0000 643.5100 0.0000 0.0000 0.0000 0.0000 0.0000 189.7179 189.7179 0.0000 0.0000 0.0000 0.0000
2022 9 1 7 0.0000 639.9000 0.0000 0.0000 0.0000 0.0000 0.0000 189.7190 189.7190 0.0000 0.0000 0.0000 0.0000
2022 9 1 8 0.0000 595.2600 0.0000 0.0000 0.0000 0.0000 0.0000 189.7200 189.7200 0.0000 0.0000 0.0000 0.0000
2022 9 1 9 0.0000 577.0100 0.0000 0.0000 0.0000 0.0000 0.0000 189.7210 189.7210 0.0000 0.0000 0.0000 0.0000
2022 9 1 10 0.0000 534.6000 0.0000 0.0000 0.0000 0.0000 0.0000 189.7220 189.7220 0.0000 0.0000 0.0000 0.0000
2022 9 1 11 0.0000 507.1900 0.0000 0.0000 0.0000 0.0000 0.0000 189.7230 189.7230 0.0000 0.0000 0.0000 0.0000
2022 9 1 12 0.0000 503.4000 0.0000 0.0000 0.0000 0.0000 0.0000 189.7239 189.7239 0.0000 0.0000 0.0000 0.0000
2022 9 1 13 0.0000 523.5600 0.0000 0.0000 0.0000 0.0000 0.0000 189.7249 189.7249 0.0000 0.0000 0.0000 0.0000
2022 9 1 14 0.0000 552.6500 0.0000 0.0000 0.0000 0.0000 0.0000 189.7258 189.7258 0.0000 0.0000 0.0000 0.0000
2022 9 1 15 0.0000 575.6100 0.0000 0.0000 0.0000 0.0000 0.0000 189.7267 189.7267 0.0000 0.0000 0.0000 0.0000
2022 9 1 16 0.0000 615.1800 0.0000 0.0000 0.0000 0.0000 0.0000 189.7276 189.7276 0.0000 0.0000 0.0000 0.0000
2022 9 1 17 0.0000 649.8000 0.0000 0.0000 0.0000 0.0000 0.0000 189.7286 189.7286 0.0000 0.0000 0.0000 0.0000
2022 9 1 18 0.0000 673.7200 0.0000 0.0000 0.0000 0.0000 0.0000 189.7295 189.7295 0.0000 0.0000 0.0000 0.0000
2022 9 1 19 0.0000 658.0800 0.0000 0.0000 0.0000 0.0000 0.0000 189.7304 189.7304 0.0000 0.0000 0.0000 0.0000
2022 9 1 20 0.0000 627.5700 0.0000 0.0000 0.0000 0.0000 0.0000 189.7313 189.7313 0.0000 0.0000 0.0000 0.0000
2022 9 1 21 0.0000 560.7000 0.0000 0.0000 0.0000 0.0000 0.0000 189.7322 189.7322 0.0000 0.0000 0.0000 0.0000
2022 9 1 22 0.0000 507.1200 0.0000 0.0000 0.0000 0.0000 0.0000 189.7331 189.7331 0.0000 0.0000 0.0000 0.0000
2022 9 1 23 0.0000 471.8500 0.0000 0.0000 0.0000 0.0000 0.0000 189.7340 189.7340 0.0000 0.0000 0.0000 0.0000
