POWERSTATION node 1 SVOLETJONN
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 3.2000 495.0100 0.8000 3.2000 0.0000 847.7559 1.0000 61.1268 64.1988 1.7126 0.0000 846.7559 0.1487
2022 9 1 1 3.2000 494.9900 0.8000 3.2000 0.0000 847.5748 0.0000 61.1163 64.1883 1.7123 0.0000 847.5748 0.1486
2022 9 1 2 3.2000 490.5800 0.8000 3.2000 0.0000 839.8780 0.0000 61.1057 64.1777 1.7120 0.0000 839.8780 0.1486
2022 9 1 3 3.2000 501.0100 0.8000 3.2000 0.0000 857.5857 0.0000 61.0951 64.1671 1.7117 0.0000 857.5857 0.1486
2022 9 1 4 3.2000 568.4400 0.8000 3.2000 0.0000 972.8379 0.0000 61.0845 64.1565 1.7114 0.0000 972.8379 0.1486
2022 9 1 5 3.2000 590.4500 0.8000 3.2000 0.0000 1010.3311 0.0000 61.0739 64.1459 1.7111 0.0000 1010.3311 0.1485
2022 9 1 6 3.2000 643.5100 0.8000 3.2000 0.0000 1100.9320 0.0000 61.0633 64.1353 1.7108 0.0000 1100.9320 0.1485
2022 9 1 7 3.2000 639.9000 0.8000 3.2000 0.0000 1094.5654 0.0000 61.0527 64.1247 1.7105 0.0000 1094.5654 0.1485
2022 9 1 8 3.2000 595.2600 0.8000 3.2000 0.0000 1018.0304 0.0000 61.0421 64.1141 1.7102 0.0000 1018.0304 0.1485
2022 9 1 9 3.2000 577.0100 0.8000 3.2000 0.0000 986.6469 0.0000 61.0314 64.1034 1.7099 0.0000 986.6469 0.1484
2022 9 1 10 3.2000 534.6000 0.8000 3.2000 0.0000 913.9696 0.0000 61.0208 64.0928 1.7096 0.0000 913.9696 0.1484
2022 9 1 11 3.2000 507.1900 0.8000 3.2000 0.0000 866.9574 0.0000 61.0102 64.0822 1.7093 0.0000 866.9574 0.1484
2022 9 1 12 3.2000 503.4000 0.8000 3.2000 0.0000 860.3286 0.0000 60.9995 64.0715 1.7090 0.0000 860.3286 0.1484
2022 9 1 13 3.2000 523.5600 0.8000 3.2000 0.0000 894.6264 0.0000 60.9888 64.0608 1.7087 0.0000 894.6264 0.1483
2022 9 1 14 3.2000 552.6500 0.8000 3.2000 0.0000 944.1685 0.0000 60.9782 64.0502 1.7084 0.0000 944.1685 0.1483
2022 9 1 15 3.2000 575.6100 0.8000 3.2000 0.0000 983.2223 0.0000 60.9675 64.0395 1.7081 0.0000 983.2223 0.1483
2022 9 1 16 3.2000 615.1800 0.8000 3.2000 0.0000 1050.6296 0.0000 60.9569 64.0289 1.7078 0.0000 1050.6296 0.1483
2022 9 1 17 3.2000 649.8000 0.8000 3.2000 0.0000 1109.5610 0.0000 60.9462 64.0182 1.7075 0.0000 1109.5610 0.1482
2022 9 1 18 3.2000 673.7200 0.8000 3.2000 0.0000 1150.2041 0.0000 60.9355 64.0075 1.7072 0.0000 1150.2041 0.1482
2022 9 1 19 3.2000 658.0800 0.8000 3.2000 0.0000 1123.3060 0.0000 60.9249 63.9969 1.7069 0.0000 1123.3060 0.1482
2022 9 1 20 3.2000 627.5700 0.8000 3.2000 0.0000 1071.0390 0.0000 60.9142 63.9862 1.7066 0.0000 1071.0390 0.1481
2022 9 1 21 3.2000 560.7000 0.8000 3.2000 0.0000 956.7476 0.0000 60.9035 63.9755 1.7063 0.0000 956.7476 0.1481
2022 9 1 22 3.2000 507.1200 0.8000 3.2000 0.0000 865.1696 0.0000 60.8928 63.9648 1.7060 0.0000 865.1696 0.1481
2022 9 1 23 3.2000 471.8500 0.8000 3.2000 0.0000 804.8559 0.0000 60.8821 63.9541 1.7057 0.0000 804.8559 0.1481
2022 9 2 0 3.2000 433.2400 0.8000 3.2000 0.0000 738.8672 0.0000 60.8714 63.9434 1.7054 0.0000 738.8672 0.1480
2022 9 2 1 3.2000 409.0500 0.8000 3.2000 0.0000 697.4899 0.0000 60.8607 63.9327 1.7051 0.0000 697.4899 0.1480
2022 9 2 2 3.2000 375.2400 0.8000 3.2000 0.0000 639.7264 0.0000 60.8500 63.9220 1.7048 0.0000 639.7264 0.1480
2022 9 2 3 3.2000 406.1400 0.8000 3.2000 0.0000 692.2843 0.0000 60.8392 63.9112 1.7045 0.0000 692.2843 0.1480
2022 9 2 4 3.2000 448.6600 0.8000 3.2000 0.0000 764.6266 0.0000 60.8285 63.9005 1.7042 0.0000 764.6266 0.1479
2022 9 2 5 3.2000 533.3700 0.8000 3.2000 0.0000 908.8327 0.0000 60.8178 63.8898 1.7039 0.0000 908.8327 0.1479
2022 9 2 6 3.2000 567.7100 0.8000 3.2000 0.0000 967.1754 0.0000 60.8070 63.8790 1.7036 0.0000 967.1754 0.1479
2022 9 2 7 3.2000 584.6700 0.8000 3.2000 0.0000 995.8933 0.0000 60.7963 63.8683 1.7033 0.0000 995.8933 0.1479
2022 9 2 8 3.2000 549.3000 0.8000 3.2000 0.0000 935.4806 0.0000 60.7855 63.8575 1.7030 0.0000 935.4806 0.1478
2022 9 2 9 3.2000 514.7700 0.8000 3.2000 0.0000 876.5192 0.0000 60.7748 63.8468 1.7027 0.0000 876.5192 0.1478
2022 9 2 10 3.2000 428.5100 0.8000 3.2000 0.0000 729.5116 0.0000 60.7640 63.8360 1.7024 0.0000 729.5116 0.1478
2022 9 2 11 3.2000 292.7800 0.8000 3.2000 0.0000 498.3513 0.0000 60.7532 63.8252 1.7021 0.0000 498.3513 0.1478
2022 9 2 12 3.2000 271.2500 0.8000 3.2000 0.0000 461.6225 0.0000 60.7425 63.8145 1.7018 0.0000 461.6225 0.1477
2022 9 2 13 3.2000 273.1100 0.8000 3.2000 0.0000 464.7054 0.0000 60.7317 63.8037 1.7015 0.0000 464.7054 0.1477
2022 9 2 14 3.2000 321.3800 0.8000 3.2000 0.0000 546.7414 0.0000 60.7209 63.7929 1.7012 0.0000 546.7414 0.1477
2022 9 2 15 3.2000 396.6400 0.8000 3.2000 0.0000 674.6563 0.0000 60.7101 63.7821 1.7009 0.0000 674.6563 0.1477
2022 9 2 16 3.2000 491.8000 0.8000 3.2000 0.0000 836.3679 0.0000 60.6993 63.7713 1.7006 0.0000 836.3679 0.1476
2022 9 2 17 3.2000 552.5100 0.8000 3.2000 0.0000 939.4456 0.0000 60.6885 63.7605 1.7003 0.0000 939.4456 0.1476
2022 9 2 18 3.2000 572.7500 0.8000 3.2000 0.0000 973.6866 0.0000 60.6777 63.7497 1.7000 0.0000 973.6866 0.1476
2022 9 2 19 3.2000 545.0200 0.8000 3.2000 0.0000 926.3800 0.0000 60.6669 63.7389 1.6997 0.0000 926.3800 0.1475
2022 9 2 20 3.2000 440.6200 0.8000 3.2000 0.0000 748.7960 0.0000 60.6561 63.7281 1.6994 0.0000 748.7960 0.1475
2022 9 2 21 3.2000 355.8800 0.8000 3.2000 0.0000 604.6799 0.0000 60.6453 63.7173 1.6991 0.0000 604.6799 0.1475
2022 9 2 22 3.2000 217.7900 0.8000 3.2000 0.0000 369.9834 0.0000 60.6345 63.7065 1.6988 0.0000 369.9834 0.1475
2022 9 2 23 3.2000 238.2100 0.8000 3.2000 0.0000 404.6008 0.0000 60.6236 63.6956 1.6985 0.0000 404.6008 0.1474
