POWERSTATION node 6 SVEIGSHYL_I
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.200000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 0.0000 495.0100 0.0000 0.0000 0.0000 0.0000 0.0000 66.0071 66.0071 0.0000 0.0000 0.0000 0.0000
2022 9 1 1 0.0000 494.9900 0.0000 0.0000 0.0000 0.0000 0.0000 66.0086 66.0086 0.0000 0.0000 0.0000 0.0000
2022 9 1 2 0.0000 490.5800 0.0000 0.0000 0.0000 0.0000 0.0000 66.0099 66.0099 0.0000 0.0000 0.0000 0.0000
2022 9 1 3 0.0000 501.0100 0.0000 0.0000 0.0000 0.0000 0.0000 66.0114 66.0114 0.0000 0.0000 0.0000 0.0000
2022 9 1 4 0.0000 568.4400 0.0000 0.0000 0.0000 0.0000 0.0000 66.0134 66.0134 0.0000 0.0000 0.0000 0.0000
2022 9 1 5 0.0000 590.4500 0.0000 0.0000 0.0000 0.0000 0.0000 66.0156 66.0156 0.0000 0.0000 0.0000 0.0000
2022 9 1 6 0.0000 643.5100 0.0000 0.0000 0.0000 0.0000 0.0000 66.0181 66.0181 0.0000 0.0000 0.0000 0.0000
2022 9 1 7 0.0000 639.9000 0.0000 0.0000 0.0000 0.0000 0.0000 66.0208 66.0208 0.0000 0.0000 0.0000 0.0000
2022 9 1 8 0.0000 595.2600 0.0000 0.0000 0.0000 0.0000 0.0000 66.0236 66.0236 0.0000 0.0000 0.0000 0.0000
2022 9 1 9 0.0000 577.0100 0.0000 0.0000 0.0000 0.0000 0.0000 66.0265 66.0265 0.0000 0.0000 0.0000 0.0000
2022 9 1 10 0.0000 534.6000 0.0000 0.0000 0.0000 0.0000 0.0000 66.0294 66.0294 0.0000 0.0000 0.0000 0.0000
2022 9 1 11 0.0000 507.1900 0.0000 0.0000 0.0000 0.0000 0.0000 66.0324 66.0324 0.0000 0.0000 0.0000 0.0000
2022 9 1 12 0.0000 503.4000 0.0000 0.0000 0.0000 0.0000 0.0000 66.0353 66.0353 0.0000 0.0000 0.0000 0.0000
2022 9 1 13 0.0000 523.5600 0.0000 0.0000 0.0000 0.0000 0.0000 66.0383 66.0383 0.0000 0.0000 0.0000 0.0000
2022 9 1 14 0.0000 552.6500 0.0000 0.0000 0.0000 0.0000 0.0000 66.0412 66.0412 0.0000 0.0000 0.0000 0.0000
2022 9 1 15 0.0000 575.6100 0.0000 0.0000 0.0000 0.0000 0.0000 66.0442 66.0442 0.0000 0.0000 0.0000 0.0000
2022 9 1 16 0.0000 615.1800 0.0000 0.0000 0.0000 0.0000 0.0000 66.0472 66.0472 0.0000 0.0000 0.0000 0.0000
2022 9 1 17 0.0000 649.8000 0.0000 0.0000 0.0000 0.0000 0.0000 66.0502 66.0502 0.0000 0.0000 0.0000 0.0000
2022 9 1 18 0.0000 673.7200 0.0000 0.0000 0.0000 0.0000 0.0000 66.0531 66.0531 0.0000 0.0000 0.0000 0.0000
2022 9 1 19 0.0000 658.0800 0.0000 0.0000 0.0000 0.0000 0.0000 66.0561 66.0561 0.0000 0.0000 0.0000 0.0000
