POWERSTATION node 7 SVEIGSHYL_II
init_Power = 0.00000
penstock_config = SHARED
headloss_coef = 0.145000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [Euro] [Euro] [m] [m] [MWh] [Euro] [Euro] [GWh/Mm3]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin income startstopCost Hnetto Hbrutto Power adjust_cost profit est_eekv
2022 9 1 0 0.0000 495.0100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2721 166.2721 0.0000 0.0000 0.0000 0.0000
2022 9 1 1 0.0000 494.9900 0.0000 0.0000 0.0000 0.0000 0.0000 166.2722 166.2722 0.0000 0.0000 0.0000 0.0000
2022 9 1 2 0.0000 490.5800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2723 166.2723 0.0000 0.0000 0.0000 0.0000
2022 9 1 3 0.0000 501.0100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2724 166.2724 0.0000 0.0000 0.0000 0.0000
2022 9 1 4 0.0000 568.4400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2725 166.2725 0.0000 0.0000 0.0000 0.0000
2022 9 1 5 0.0000 590.4500 0.0000 0.0000 0.0000 0.0000 0.0000 166.2727 166.2727 0.0000 0.0000 0.0000 0.0000
2022 9 1 6 0.0000 643.5100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2728 166.2728 0.0000 0.0000 0.0000 0.0000
2022 9 1 7 0.0000 639.9000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2729 166.2729 0.0000 0.0000 0.0000 0.0000
2022 9 1 8 0.0000 595.2600 0.0000 0.0000 0.0000 0.0000 0.0000 166.2730 166.2730 0.0000 0.0000 0.0000 0.0000
2022 9 1 9 0.0000 577.0100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2731 166.2731 0.0000 0.0000 0.0000 0.0000
2022 9 1 10 0.0000 534.6000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2732 166.2732 0.0000 0.0000 0.0000 0.0000
2022 9 1 11 0.0000 507.1900 0.0000 0.0000 0.0000 0.0000 0.0000 166.2733 166.2733 0.0000 0.0000 0.0000 0.0000
2022 9 1 12 0.0000 503.4000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2735 166.2735 0.0000 0.0000 0.0000 0.0000
2022 9 1 13 0.0000 523.5600 0.0000 0.0000 0.0000 0.0000 0.0000 166.2736 166.2736 0.0000 0.0000 0.0000 0.0000
2022 9 1 14 0.0000 552.6500 0.0000 0.0000 0.0000 0.0000 0.0000 166.2737 166.2737 0.0000 0.0000 0.0000 0.0000
2022 9 1 15 0.0000 575.6100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2738 166.2738 0.0000 0.0000 0.0000 0.0000
2022 9 1 16 0.0000 615.1800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2739 166.2739 0.0000 0.0000 0.0000 0.0000
2022 9 1 17 0.0000 649.8000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2740 166.2740 0.0000 0.0000 0.0000 0.0000
2022 9 1 18 0.0000 673.7200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2741 166.2741 0.0000 0.0000 0.0000 0.0000
2022 9 1 19 0.0000 658.0800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2742 166.2742 0.0000 0.0000 0.0000 0.0000
2022 9 1 20 0.0000 627.5700 0.0000 0.0000 0.0000 0.0000 0.0000 166.2743 166.2743 0.0000 0.0000 0.0000 0.0000
2022 9 1 21 0.0000 560.7000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2744 166.2744 0.0000 0.0000 0.0000 0.0000
2022 9 1 22 0.0000 507.1200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2745 166.2745 0.0000 0.0000 0.0000 0.0000
2022 9 1 23 0.0000 471.8500 0.0000 0.0000 0.0000 0.0000 0.0000 166.2746 166.2746 0.0000 0.0000 0.0000 0.0000
2022 9 2 0 0.0000 433.2400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2748 166.2748 0.0000 0.0000 0.0000 0.0000
2022 9 2 1 0.0000 409.0500 0.0000 0.0000 0.0000 0.0000 0.0000 166.2749 166.2749 0.0000 0.0000 0.0000 0.0000
2022 9 2 2 0.0000 375.2400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2750 166.2750 0.0000 0.0000 0.0000 0.0000
2022 9 2 3 0.0000 406.1400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2751 166.2751 0.0000 0.0000 0.0000 0.0000
2022 9 2 4 0.0000 448.6600 0.0000 0.0000 0.0000 0.0000 0.0000 166.2752 166.2752 0.0000 0.0000 0.0000 0.0000
2022 9 2 5 0.0000 533.3700 0.0000 0.0000 0.0000 0.0000 0.0000 166.2753 166.2753 0.0000 0.0000 0.0000 0.0000
2022 9 2 6 0.0000 567.7100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2754 166.2754 0.0000 0.0000 0.0000 0.0000
2022 9 2 7 0.0000 584.6700 0.0000 0.0000 0.0000 0.0000 0.0000 166.2755 166.2755 0.0000 0.0000 0.0000 0.0000
2022 9 2 8 0.0000 549.3000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2756 166.2756 0.0000 0.0000 0.0000 0.0000
2022 9 2 9 0.0000 514.7700 0.0000 0.0000 0.0000 0.0000 0.0000 166.2757 166.2757 0.0000 0.0000 0.0000 0.0000
2022 9 2 10 0.0000 428.5100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2758 166.2758 0.0000 0.0000 0.0000 0.0000
2022 9 2 11 0.0000 292.7800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2759 166.2759 0.0000 0.0000 0.0000 0.0000
2022 9 2 12 0.0000 271.2500 0.0000 0.0000 0.0000 0.0000 0.0000 166.2760 166.2760 0.0000 0.0000 0.0000 0.0000
2022 9 2 13 0.0000 273.1100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2761 166.2761 0.0000 0.0000 0.0000 0.0000
2022 9 2 14 0.0000 321.3800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2762 166.2762 0.0000 0.0000 0.0000 0.0000
2022 9 2 15 0.0000 396.6400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2763 166.2763 0.0000 0.0000 0.0000 0.0000
2022 9 2 16 0.0000 491.8000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2764 166.2764 0.0000 0.0000 0.0000 0.0000
2022 9 2 17 0.0000 552.5100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2765 166.2765 0.0000 0.0000 0.0000 0.0000
2022 9 2 18 0.0000 572.7500 0.0000 0.0000 0.0000 0.0000 0.0000 166.2766 166.2766 0.0000 0.0000 0.0000 0.0000
2022 9 2 19 0.0000 545.0200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2767 166.2767 0.0000 0.0000 0.0000 0.0000
2022 9 2 20 0.0000 440.6200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2768 166.2768 0.0000 0.0000 0.0000 0.0000
2022 9 2 21 0.0000 355.8800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2769 166.2769 0.0000 0.0000 0.0000 0.0000
2022 9 2 22 0.0000 217.7900 0.0000 0.0000 0.0000 0.0000 0.0000 166.2770 166.2770 0.0000 0.0000 0.0000 0.0000
2022 9 2 23 0.0000 238.2100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2771 166.2771 0.0000 0.0000 0.0000 0.0000
2022 9 3 0 0.0000 253.5000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2772 166.2772 0.0000 0.0000 0.0000 0.0000
2022 9 3 1 0.0000 271.6000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2773 166.2773 0.0000 0.0000 0.0000 0.0000
2022 9 3 2 0.0000 258.7100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2774 166.2774 0.0000 0.0000 0.0000 0.0000
2022 9 3 3 0.0000 243.5100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2774 166.2774 0.0000 0.0000 0.0000 0.0000
2022 9 3 4 0.0000 301.8400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2775 166.2775 0.0000 0.0000 0.0000 0.0000
2022 9 3 5 0.0000 284.0000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2776 166.2776 0.0000 0.0000 0.0000 0.0000
2022 9 3 6 0.0000 382.1900 0.0000 0.0000 0.0000 0.0000 0.0000 166.2777 166.2777 0.0000 0.0000 0.0000 0.0000
2022 9 3 7 0.0000 413.5400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2778 166.2778 0.0000 0.0000 0.0000 0.0000
2022 9 3 8 0.0000 393.5100 0.0000 0.0000 0.0000 0.0000 0.0000 166.2779 166.2779 0.0000 0.0000 0.0000 0.0000
2022 9 3 9 0.0000 442.1400 0.0000 0.0000 0.0000 0.0000 0.0000 166.2780 166.2780 0.0000 0.0000 0.0000 0.0000
2022 9 3 10 0.0000 453.6600 0.0000 0.0000 0.0000 0.0000 0.0000 166.2781 166.2781 0.0000 0.0000 0.0000 0.0000
2022 9 3 11 0.0000 468.9000 0.0000 0.0000 0.0000 0.0000 0.0000 166.2782 166.2782 0.0000 0.0000 0.0000 0.0000
2022 9 3 12 0.0000 456.4300 0.0000 0.0000 0.0000 0.0000 0.0000 166.2783 166.2783 0.0000 0.0000 0.0000 0.0000
2022 9 3 13 0.0000 459.8200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2784 166.2784 0.0000 0.0000 0.0000 0.0000
2022 9 3 14 0.0000 431.0300 0.0000 0.0000 0.0000 0.0000 0.0000 166.2785 166.2785 0.0000 0.0000 0.0000 0.0000
2022 9 3 15 0.0000 387.1700 0.0000 0.0000 0.0000 0.0000 0.0000 166.2786 166.2786 0.0000 0.0000 0.0000 0.0000
2022 9 3 16 0.0000 414.6800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2787 166.2787 0.0000 0.0000 0.0000 0.0000
2022 9 3 17 0.0000 468.4800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2787 166.2787 0.0000 0.0000 0.0000 0.0000
2022 9 3 18 0.0000 531.4800 0.0000 0.0000 0.0000 0.0000 0.0000 166.2788 166.2788 0.0000 0.0000 0.0000 0.0000
2022 9 3 19 0.0000 513.1200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2789 166.2789 0.0000 0.0000 0.0000 0.0000
2022 9 3 20 0.0000 443.1200 0.0000 0.0000 0.0000 0.0000 0.0000 166.2790 166.2790 0.0000 0.0000 0.0000 0.0000
